node_id,x_coord,y_coord,zone_id,geometry
49647,-84.445816,33.64851,,POINT (-84.445816 33.64851)
49648,-84.445557,33.648701,,POINT (-84.445557 33.648701)
49649,-84.408831,33.63206,,POINT (-84.408831 33.63206)
49650,-84.4393,33.652578,,POINT (-84.4393 33.652578)
6124,-117.187488,33.558866,6124.0,POINT (-117.187488 33.558866)
33060,-117.179,33.5466,,POINT (-117.179 33.5466)
33815,-117.175758,33.137928,,POINT (-117.175758 33.137928)
33816,-117.162689,33.137107,,POINT (-117.162689 33.137107)
33267,-117.103787,33.126728,,POINT (-117.103787 33.126728)
33280,-117.06996,33.07753,,POINT (-117.06996 33.07753)
33281,-117.079052,33.005336,,POINT (-117.079052 33.005336)
33777,-117.019784,33.097484,,POINT (-117.019784 33.097484)
33058,-117.12448,33.19691,,POINT (-117.12448 33.19691)
33057,-117.15923,33.33096,,POINT (-117.15923 33.33096)
33778,-116.869614,33.065408,,POINT (-116.869614 33.065408)
33063,-117.16216,33.52246,,POINT (-117.16216 33.52246)
33702,-116.939423,32.732376,,POINT (-116.939423 32.732376)
33703,-116.82251,32.667968,,POINT (-116.82251 32.667968)
33736,-116.639291,32.599875,,POINT (-116.639291 32.599875)
33628,-116.692856,32.523136,,POINT (-116.692856 32.523136)
33630,-116.626366,32.571331,,POINT (-116.626366 32.571331)
33006,-116.934984,32.802957,,POINT (-116.934984 32.802957)
33005,-116.85271,32.85355,,POINT (-116.85271 32.85355)
33003,-116.80898,32.85236,,POINT (-116.80898 32.85236)
33004,-116.72478,32.83374,,POINT (-116.72478 32.83374)
33046,-116.62343,32.82613,,POINT (-116.62343 32.82613)
33626,-116.568077,32.473557,,POINT (-116.568077 32.473557)
33631,-116.370193,32.532757,,POINT (-116.370193 32.532757)
33045,-116.28368,32.67459,,POINT (-116.28368 32.67459)
33711,-116.52644,32.81653,,POINT (-116.52644 32.81653)
33047,-116.36072,32.70526,,POINT (-116.36072 32.70526)
33787,-116.574738,32.88726,,POINT (-116.574738 32.88726)
33781,-116.598052,33.075969,,POINT (-116.598052 33.075969)
33779,-116.841958,33.051391,,POINT (-116.841958 33.051391)
6108,-116.770206,33.028203,6108.0,POINT (-116.770206 33.028203)
33780,-116.673127,33.109268,,POINT (-116.673127 33.109268)
6404,-116.182367,31.642732,6404.0,POINT (-116.182367 31.642732)
33949,-86.843006,33.881318,,POINT (-86.843006 33.881318)
33950,-86.825035,33.841724,,POINT (-86.825035 33.841724)
33951,-86.869714,33.957064,,POINT (-86.869714 33.957064)
33946,-86.870361,33.94836,,POINT (-86.870361 33.94836)
33952,-86.866724,34.047421,,POINT (-86.866724 34.047421)
33953,-86.866211,34.0546,,POINT (-86.866211 34.0546)
33954,-86.866247,34.061395,,POINT (-86.866247 34.061395)
33955,-86.745557,33.550538,,POINT (-86.745557 33.550538)
33956,-86.729127,33.564612,,POINT (-86.729127 33.564612)
33957,-86.725098,33.566639,,POINT (-86.725098 33.566639)
33958,-86.720465,33.56925,,POINT (-86.720465 33.56925)
33959,-86.700268,33.584897,,POINT (-86.700268 33.584897)
33960,-86.69693,33.585979,,POINT (-86.69693 33.585979)
33961,-86.693426,33.586761,,POINT (-86.693426 33.586761)
34447,-86.658316,33.594019,,POINT (-86.658316 33.594019)
34448,-86.646416,33.590069,,POINT (-86.646416 33.590069)
34449,-86.641068,33.553057,,POINT (-86.641068 33.553057)
34450,-86.653717,33.597889,,POINT (-86.653717 33.597889)
34451,-86.649614,33.594842,,POINT (-86.649614 33.594842)
34452,-86.648438,33.593609,,POINT (-86.648438 33.593609)
34453,-86.650081,33.595331,,POINT (-86.650081 33.595331)
34454,-86.647639,33.603368,,POINT (-86.647639 33.603368)
34455,-86.550987,33.670559,,POINT (-86.550987 33.670559)
34247,-86.547485,33.561249,,POINT (-86.547485 33.561249)
34456,-86.525757,33.565182,,POINT (-86.525757 33.565182)
34457,-86.521118,33.565929,,POINT (-86.521118 33.565929)
34458,-86.517531,33.566531,,POINT (-86.517531 33.566531)
34459,-86.504204,33.568832,,POINT (-86.504204 33.568832)
34460,-86.541336,33.677872,,POINT (-86.541336 33.677872)
34461,-86.528649,33.692193,,POINT (-86.528649 33.692193)
34462,-86.526932,33.69569,,POINT (-86.526932 33.69569)
34463,-86.525368,33.698929,,POINT (-86.525368 33.698929)
34464,-86.903294,34.311258,,POINT (-86.903294 34.311258)
34465,-86.904076,34.309715,,POINT (-86.904076 34.309715)
34466,-86.900452,34.31665,,POINT (-86.900452 34.31665)
34467,-86.874381,34.166176,,POINT (-86.874381 34.166176)
34468,-86.86621,34.117232,,POINT (-86.86621 34.117232)
34469,-86.866044,34.108909,,POINT (-86.866044 34.108909)
47681,-90.408363,35.148018,,POINT (-90.408363 35.148018)
47682,-90.405032,35.149574,,POINT (-90.405032 35.149574)
47683,-90.400467,35.15086,,POINT (-90.400467 35.15086)
47684,-90.395079,35.151105,,POINT (-90.395079 35.151105)
47685,-90.227886,35.159447,,POINT (-90.227886 35.159447)
47686,-90.224396,35.160454,,POINT (-90.224396 35.160454)
47687,-90.22105,35.161461,,POINT (-90.22105 35.161461)
47688,-90.199689,35.168119,,POINT (-90.199689 35.168119)
47689,-90.192459,35.17091,,POINT (-90.192459 35.17091)
34206,-90.195709,35.18108,,POINT (-90.195709 35.18108)
47646,-90.184922,35.168491,,POINT (-90.184922 35.168491)
34205,-90.205838,35.210334,,POINT (-90.205838 35.210334)
34207,-90.207092,35.213991,,POINT (-90.207092 35.213991)
34208,-90.206413,35.212101,,POINT (-90.206413 35.212101)
34209,-90.209114,35.219521,,POINT (-90.209114 35.219521)
34210,-90.277187,35.389453,,POINT (-90.277187 35.389453)
34211,-90.273437,35.391998,,POINT (-90.273437 35.391998)
34212,-90.269202,35.394253,,POINT (-90.269202 35.394253)
34213,-90.223335,35.437645,,POINT (-90.223335 35.437645)
34214,-89.793701,33.634701,,POINT (-89.793701 33.634701)
34215,-89.791569,33.630815,,POINT (-89.791569 33.630815)
34216,-89.785667,33.617725,,POINT (-89.785667 33.617725)
