,tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
39,115+07213,I-10,WESTBOUND,AZ-202,AZ,MARICOPA,85226,33.284240000000004,-111.96938,33.290690000000005,-111.97152,0.46329799999999993,1108.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
40,115+05165,I-10,WESTBOUND,PECOS RD/EXIT 161,AZ,MARICOPA,85226,33.290690000000005,-111.97152,33.295770000000005,-111.97188999999999,0.352106,1109.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
41,115P05165,I-10,WESTBOUND,PECOS RD/EXIT 161,AZ,MARICOPA,85226,33.295770000000005,-111.97188999999999,33.29999,-111.97191000000001,0.291536,1110.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
42,115+04177,I-10,WESTBOUND,CHANDLER BLVD/EXIT 160,AZ,MARICOPA,85226,33.29999,-111.97191000000001,33.30178,-111.97193,0.12365999999999999,1111.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
43,115P04177,I-10,WESTBOUND,CHANDLER BLVD/EXIT 160,AZ,MARICOPA,85226,33.30178,-111.97193,33.31028,-111.97207,0.5874050000000001,1112.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
44,115+04178,I-10,WESTBOUND,RAY RD/EXIT 159,AZ,MARICOPA,85226,33.31028,-111.97207,33.31539,-111.97211000000001,0.353013,1113.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
45,115P04178,I-10,WESTBOUND,RAY RD/EXIT 159,AZ,MARICOPA,85226,33.31539,-111.97211000000001,33.3239,-111.97209,0.587912,1114.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
46,115+04179,I-10,WESTBOUND,WARNER RD/EXIT 158,AZ,MARICOPA,85226,33.3239,-111.97209,33.33027,-111.97208,0.440047,1115.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
47,115P04179,I-10,WESTBOUND,WARNER RD/EXIT 158,AZ,MARICOPA,85284,33.33027,-111.97208,33.34022,-111.97208,0.687359,1116.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
48,115+04180,I-10,WESTBOUND,ELLIOT RD/EXIT 157,AZ,MARICOPA,85284,33.34022,-111.97208,33.34452,-111.97209,0.297069,1117.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
49,115P04180,I-10,WESTBOUND,ELLIOT RD/EXIT 157,AZ,MARICOPA,85283,33.34452,-111.97209,33.353840000000005,-111.97098000000001,0.647633,1118.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
50,115+04181,I-10,WESTBOUND,BASELINE RD/EXIT 155,AZ,MARICOPA,85283,33.353840000000005,-111.97098000000001,33.372659999999996,-111.96784,1.315642,1119.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
51,115P08698,QUEEN CREEK RD,EASTBOUND,I-10,AZ,MARICOPA,85226,33.25611,-111.94708999999999,33.256170000000004,-111.94698000000001,0.007587000000000001,1.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
52,115+08699,QUEEN CREEK RD,EASTBOUND,S PRICE RD,AZ,MARICOPA,85226,33.256170000000004,-111.94698000000001,33.26141,-111.88868000000001,3.4325120000000005,2.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
53,115+08700,QUEEN CREEK RD,EASTBOUND,S DOBSON RD,AZ,MARICOPA,85248,33.26141,-111.88868000000001,33.26153,-111.88095,0.435621,4.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
54,115+08701,QUEEN CREEK RD,EASTBOUND,S ALMA SCHOOL RD,AZ,MARICOPA,85248,33.26153,-111.88095,33.26185,-111.8585,1.286592,6.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
55,115+08702,QUEEN CREEK RD,EASTBOUND,AZ-87/S ARIZONA AVE,AZ,MARICOPA,85248,33.26185,-111.8585,33.26206,-111.84127,0.98615,8.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
56,115+08703,QUEEN CREEK RD,EASTBOUND,S MCQUEEN RD,AZ,MARICOPA,85286,33.26206,-111.84127,33.26232,-111.82401999999999,0.983876,10.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
57,115+08704,QUEEN CREEK RD,EASTBOUND,S GILBERT RD,AZ,MARICOPA,85286,33.26232,-111.82401999999999,33.26279,-111.78946,1.985928,12.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
58,115+08705,QUEEN CREEK RD,EASTBOUND,S VAL VISTA DR,AZ,MARICOPA,85297,33.26279,-111.78946,33.26316,-111.75551000000002,1.9620830000000002,14.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
59,115-08704,QUEEN CREEK RD,WESTBOUND,S GILBERT RD,AZ,MARICOPA,85297,33.26316,-111.75551000000002,33.26294,-111.78967,1.9620650000000002,6.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
60,115-08703,QUEEN CREEK RD,WESTBOUND,S MCQUEEN RD,AZ,MARICOPA,85286,33.26294,-111.78967,33.26247,-111.82423999999999,1.986896,8.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
61,115-08702,QUEEN CREEK RD,WESTBOUND,AZ-87/S ARIZONA AVE,AZ,MARICOPA,85286,33.26247,-111.82423999999999,33.262229999999995,-111.84143,0.9838459999999999,10.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
62,115-08701,QUEEN CREEK RD,WESTBOUND,S ALMA SCHOOL RD,AZ,MARICOPA,85248,33.262229999999995,-111.84143,33.262,-111.85868,0.986176,12.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
63,115-08700,QUEEN CREEK RD,WESTBOUND,S DOBSON RD,AZ,MARICOPA,85248,33.262,-111.85868,33.26168,-111.8811,1.284286,14.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
64,115-08699,QUEEN CREEK RD,WESTBOUND,S PRICE RD,AZ,MARICOPA,85248,33.26168,-111.8811,33.26157,-111.88886000000001,0.43791199999999997,16.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
65,115-08698,QUEEN CREEK RD,WESTBOUND,I-10,AZ,MARICOPA,85226,33.26157,-111.88886000000001,33.2563,-111.94708,3.437307,18.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
66,115N08698,QUEEN CREEK RD,WESTBOUND,I-10,AZ,MARICOPA,85226,33.2563,-111.94708,33.256240000000005,-111.94718999999999,0.007587000000000001,19.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
