tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115P07300,AZ-347,NORTHBOUND,I-10,AZ,MARICOPA,85226,33.2549,-111.9493,33.25611,-111.94709,0.152597,8.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+07298,AZ-347,NORTHBOUND,INDIAN RTE 1/CASA BLANCA RD,AZ,PINAL,85121,33.07245,-112.04407,33.1234,-112.01747,3.841602,5.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04682,I-10,EASTBOUND,AZ-387/EXIT 185,AZ,PINAL,85138,33.0398,-111.78211,33.00589,-111.75548,2.807086,451.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115-04683,I-10,EASTBOUND,SACATON REST AREA,AZ,PINAL,85138,33.11366,-111.83894,33.04588,-111.78679,5.570954,449.0,America/Phoenix,P3.4,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04180,I-10,WESTBOUND,ELLIOT RD/EXIT 157,AZ,MARICOPA,85284,33.34022,-111.97208,33.34452,-111.97209,0.297069,1117.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04180,I-10,EASTBOUND,ELLIOT RD/EXIT 157,AZ,MARICOPA,85284,33.3533,-111.97138,33.34415,-111.97237,0.635206,433.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04176,I-10,EASTBOUND,AZ-347/WILD HORSE PASS BLVD/EXIT 162,AZ,MARICOPA,85226,33.28349,-111.96936,33.27561,-111.96394,0.628893,442.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04175,I-10,EASTBOUND,QUEEN CREEK RD/EXIT 164,AZ,MARICOPA,85226,33.26009,-111.95196,33.25096,-111.94489,0.751406,444.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N08698,QUEEN CREEK RD,WESTBOUND,I-10,AZ,MARICOPA,85226,33.2563,-111.94708,33.25624,-111.94719,0.007587,19.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04178,I-10,WESTBOUND,RAY RD/EXIT 159,AZ,MARICOPA,85226,33.31028,-111.97207,33.31539,-111.97211,0.353013,1113.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115N04174,I-10,EASTBOUND,RIGGS RD/EXIT 167,AZ,MARICOPA,85226,33.22337,-111.92356,33.21591,-111.91781,0.613192,446.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
