node_id,x_coord,y_coord,Centroid,zone_id,geometry
224174,-110.944791,32.17725,,,POINT(-110.944791 32.17725)
224173,-110.655775,31.68043,,,POINT(-110.655775 31.68043)
224172,-110.655793,31.682063,,,POINT(-110.655793 31.682063)
224171,-110.643094,31.680953,,,POINT(-110.643094 31.680953)
224170,-110.584824,31.704547,,,POINT(-110.584824 31.704547)
224169,-110.591823,31.623952,,,POINT(-110.591823 31.623952)
224168,-110.604901,31.659006,,,POINT(-110.604901 31.659006)
224167,-110.36035,31.69254,,,POINT(-110.36035 31.69254)
224166,-110.350353,31.692749,,,POINT(-110.350353 31.692749)
224165,-110.334324,31.693102,,,POINT(-110.334324 31.693102)
224164,-110.300267,31.699074,,,POINT(-110.300267 31.699074)
224163,-110.317189,31.578196,,,POINT(-110.317189 31.578196)
224162,-110.240619,31.554618,,,POINT(-110.240619 31.554618)
224161,-110.232085,31.554605,,,POINT(-110.232085 31.554605)
224160,-110.212927,31.379955,,,POINT(-110.212927 31.379955)
224159,-110.207083,31.379941,,,POINT(-110.207083 31.379941)
224158,-110.200036,31.379934,,,POINT(-110.200036 31.379934)
224157,-110.129802,31.379947,,,POINT(-110.129802 31.379947)
224156,-110.122307,31.379951,,,POINT(-110.122307 31.379951)
224155,-110.110686,31.379977,,,POINT(-110.110686 31.379977)
224154,-110.057399,31.380005,,,POINT(-110.057399 31.380005)
224153,-109.934058,31.394111,,,POINT(-109.934058 31.394111)
224152,-109.89353,31.426085,,,POINT(-109.89353 31.426085)
224151,-109.875419,31.429129,,,POINT(-109.875419 31.429129)
224150,-109.864603,31.430243,,,POINT(-109.864603 31.430243)
224149,-109.885135,31.427456,,,POINT(-109.885135 31.427456)
224148,-109.880282,31.428314,,,POINT(-109.880282 31.428314)
224147,-109.823059,31.440631,,,POINT(-109.823059 31.440631)
224146,-109.590667,31.353632,,,POINT(-109.590667 31.353632)
224145,-109.590681,31.353458,,,POINT(-109.590681 31.353458)
224144,-109.556157,31.350443,,,POINT(-109.556157 31.350443)
224143,-109.554458,31.350393,,,POINT(-109.554458 31.350393)
224142,-109.553491,31.351437,,,POINT(-109.553491 31.351437)
224141,-109.52887,31.372087,,,POINT(-109.52887 31.372087)
224140,-109.518564,31.380779,,,POINT(-109.518564 31.380779)
224139,-109.483398,31.430853,,,POINT(-109.483398 31.430853)
224138,-109.446567,31.478871,,,POINT(-109.446567 31.478871)
224137,-109.424349,31.490589,,,POINT(-109.424349 31.490589)
224136,-109.36073,31.468218,,,POINT(-109.36073 31.468218)
224135,-109.19556,31.632338,,,POINT(-109.19556 31.632338)
224134,-109.826404,31.931189,,,POINT(-109.826404 31.931189)
224133,-109.829522,31.937411,,,POINT(-109.829522 31.937411)
224132,-109.838876,31.956081,,,POINT(-109.838876 31.956081)
224131,-109.844337,31.966975,,,POINT(-109.844337 31.966975)
224130,-109.695495,31.89069,,,POINT(-109.695495 31.89069)
224129,-109.708811,31.90059,,,POINT(-109.708811 31.90059)
224128,-109.695146,31.881469,,,POINT(-109.695146 31.881469)
224127,-109.670273,31.604074,,,POINT(-109.670273 31.604074)
224126,-109.684453,31.674624,,,POINT(-109.684453 31.674624)
224125,-109.669755,31.595976,,,POINT(-109.669755 31.595976)
224124,-109.670005,31.59854,,,POINT(-109.670005 31.59854)
224123,-109.687225,31.701579,,,POINT(-109.687225 31.701579)
224122,-109.687323,31.688354,,,POINT(-109.687323 31.688354)
224121,-109.686037,31.678044,,,POINT(-109.686037 31.678044)
224120,-109.687216,31.681902,,,POINT(-109.687216 31.681902)
224119,-109.440001,32.003878,,,POINT(-109.440001 32.003878)
224118,-109.439997,32.005782,,,POINT(-109.439997 32.005782)
224117,-109.436826,32.006805,,,POINT(-109.436826 32.006805)
224116,-109.389158,32.007164,,,POINT(-109.389158 32.007164)
224115,-109.531758,32.091066,,,POINT(-109.531758 32.091066)
224114,-109.518544,32.077784,,,POINT(-109.518544 32.077784)
224113,-109.47891,32.037942,,,POINT(-109.47891 32.037942)
224112,-109.439999,32.011214,,,POINT(-109.439999 32.011214)
224111,-109.44,32.007523,,,POINT(-109.44 32.007523)
224110,-109.605692,32.174509,,,POINT(-109.605692 32.174509)
224109,-109.621454,32.176069,,,POINT(-109.621454 32.176069)
224108,-109.756194,32.195298,,,POINT(-109.756194 32.195298)
224107,-109.909879,32.122063,,,POINT(-109.909879 32.122063)
224106,-109.910271,32.13294,,,POINT(-109.910271 32.13294)
224105,-109.920416,32.139394,,,POINT(-109.920416 32.139394)
224104,-109.93694,32.151854,,,POINT(-109.93694 32.151854)
224103,-109.94643,32.170461,,,POINT(-109.94643 32.170461)
224102,-109.451605,32.319659,,,POINT(-109.451605 32.319659)
224101,-109.448386,32.316163,,,POINT(-109.448386 32.316163)
224100,-109.446526,32.316177,,,POINT(-109.446526 32.316177)
224099,-109.23419,32.268182,,,POINT(-109.23419 32.268182)
224098,-109.219673,32.264827,,,POINT(-109.219673 32.264827)
224097,-109.214313,32.263589,,,POINT(-109.214313 32.263589)
224096,-109.198514,32.259937,,,POINT(-109.198514 32.259937)
224095,-109.196587,32.25923,,,POINT(-109.196587 32.25923)
224094,-109.654837,32.384748,,,POINT(-109.654837 32.384748)
224093,-109.66278,32.390649,,,POINT(-109.66278 32.390649)
224092,-109.622676,32.3656,,,POINT(-109.622676 32.3656)
224091,-109.639115,32.373693,,,POINT(-109.639115 32.373693)
224090,-109.663939,32.392797,,,POINT(-109.663939 32.392797)
224089,-109.664729,32.391425,,,POINT(-109.664729 32.391425)
224088,-109.955105,32.582491,,,POINT(-109.955105 32.582491)
224087,-109.942494,32.613607,,,POINT(-109.942494 32.613607)
224086,-109.943715,32.623052,,,POINT(-109.943715 32.623052)
224085,-109.706402,32.681548,,,POINT(-109.706402 32.681548)
224084,-109.756821,32.687261,,,POINT(-109.756821 32.687261)
224083,-109.777215,32.676314,,,POINT(-109.777215 32.676314)
224082,-109.912798,32.704221,,,POINT(-109.912798 32.704221)
224081,-109.707639,32.813016,,,POINT(-109.707639 32.813016)
224080,-109.707619,32.816782,,,POINT(-109.707619 32.816782)
224079,-109.693219,32.826807,,,POINT(-109.693219 32.826807)
224078,-109.676429,32.816675,,,POINT(-109.676429 32.816675)
224077,-109.587868,32.810478,,,POINT(-109.587868 32.810478)
224076,-109.552712,32.793134,,,POINT(-109.552712 32.793134)
224075,-109.142643,32.738139,,,POINT(-109.142643 32.738139)
224074,-109.113226,32.730876,,,POINT(-109.113226 32.730876)
224073,-109.108072,32.725612,,,POINT(-109.108072 32.725612)
224072,-109.098476,32.713046,,,POINT(-109.098476 32.713046)
224071,-109.090028,32.700968,,,POINT(-109.090028 32.700968)
224070,-109.080147,32.679209,,,POINT(-109.080147 32.679209)
224069,-109.196781,32.903085,,,POINT(-109.196781 32.903085)
224068,-109.197671,32.917097,,,POINT(-109.197671 32.917097)
224067,-109.106855,32.747269,,,POINT(-109.106855 32.747269)
224066,-109.093448,32.729779,,,POINT(-109.093448 32.729779)
224065,-109.097469,32.741466,,,POINT(-109.097469 32.741466)
224064,-109.546584,32.793267,,,POINT(-109.546584 32.793267)
224063,-109.188565,32.980694,,,POINT(-109.188565 32.980694)
224062,-109.168886,33.001682,,,POINT(-109.168886 33.001682)
224061,-109.149315,33.01664,,,POINT(-109.149315 33.01664)
224060,-109.141016,33.030458,,,POINT(-109.141016 33.030458)
224059,-109.112906,33.046755,,,POINT(-109.112906 33.046755)
224058,-109.35636,33.073611,,,POINT(-109.35636 33.073611)
224057,-109.379306,33.094544,,,POINT(-109.379306 33.094544)
224056,-109.375594,33.11598,,,POINT(-109.375594 33.11598)
224055,-109.370469,33.259783,,,POINT(-109.370469 33.259783)
224054,-109.35646,33.274344,,,POINT(-109.35646 33.274344)
224053,-109.357604,33.300157,,,POINT(-109.357604 33.300157)
224052,-109.34665,33.342462,,,POINT(-109.34665 33.342462)
224051,-109.830958,34.316312,,,POINT(-109.830958 34.316312)
224050,-109.360991,33.413855,,,POINT(-109.360991 33.413855)
224049,-109.32265,33.506696,,,POINT(-109.32265 33.506696)
224048,-109.357433,33.568866,,,POINT(-109.357433 33.568866)
224047,-109.14699,33.845434,,,POINT(-109.14699 33.845434)
224046,-109.118405,33.833731,,,POINT(-109.118405 33.833731)
224045,-109.127431,33.839475,,,POINT(-109.127431 33.839475)
224044,-109.166028,33.86915,,,POINT(-109.166028 33.86915)
224043,-109.165093,33.867038,,,POINT(-109.165093 33.867038)
224042,-109.153365,33.855106,,,POINT(-109.153365 33.855106)
224041,-109.147047,33.852075,,,POINT(-109.147047 33.852075)
224040,-109.146712,33.846164,,,POINT(-109.146712 33.846164)
224039,-109.186597,34.045985,,,POINT(-109.186597 34.045985)
224038,-109.188463,33.99525,,,POINT(-109.188463 33.99525)
224037,-109.247278,34.105985,,,POINT(-109.247278 34.105985)
224036,-109.206693,34.092765,,,POINT(-109.206693 34.092765)
224035,-109.263716,34.125461,,,POINT(-109.263716 34.125461)
224034,-109.252199,34.132546,,,POINT(-109.252199 34.132546)
224033,-109.27389,34.13283,,,POINT(-109.27389 34.13283)
224032,-109.278515,34.132815,,,POINT(-109.278515 34.132815)
224031,-109.297796,34.151813,,,POINT(-109.297796 34.151813)
224030,-109.319182,34.183643,,,POINT(-109.319182 34.183643)
224029,-109.318145,34.173889,,,POINT(-109.318145 34.173889)
224028,-109.379846,34.486313,,,POINT(-109.379846 34.486313)
224027,-109.405129,34.381808,,,POINT(-109.405129 34.381808)
224026,-109.369722,34.496102,,,POINT(-109.369722 34.496102)
224025,-109.375084,34.489231,,,POINT(-109.375084 34.489231)
224024,-109.351021,34.507261,,,POINT(-109.351021 34.507261)
224023,-109.34259,34.55679,,,POINT(-109.34259 34.55679)
224022,-109.354294,34.506438,,,POINT(-109.354294 34.506438)
224021,-109.359328,34.506092,,,POINT(-109.359328 34.506092)
224020,-109.334585,35.190352,,,POINT(-109.334585 35.190352)
224019,-109.332704,35.203499,,,POINT(-109.332704 35.203499)
224018,-109.330776,35.210941,,,POINT(-109.330776 35.210941)
224017,-112.215638,36.714137,,,POINT(-112.215638 36.714137)
224016,-109.452761,34.519849,,,POINT(-109.452761 34.519849)
224015,-109.449265,34.514037,,,POINT(-109.449265 34.514037)
224014,-109.447954,34.510485,,,POINT(-109.447954 34.510485)
224013,-109.45041,34.510453,,,POINT(-109.45041 34.510453)
224012,-109.595942,34.479085,,,POINT(-109.595942 34.479085)
224011,-109.522405,34.489898,,,POINT(-109.522405 34.489898)
224010,-109.600931,34.476383,,,POINT(-109.600931 34.476383)
224009,-109.603469,34.475007,,,POINT(-109.603469 34.475007)
224008,-109.605577,34.473866,,,POINT(-109.605577 34.473866)
224007,-109.603474,34.475004,,,POINT(-109.603474 34.475004)
224006,-109.613345,34.478577,,,POINT(-109.613345 34.478577)
224005,-109.61033,34.478129,,,POINT(-109.61033 34.478129)
224004,-109.616941,34.480605,,,POINT(-109.616941 34.480605)
224003,-109.79877,34.295875,,,POINT(-109.79877 34.295875)
224002,-109.827956,34.286201,,,POINT(-109.827956 34.286201)
224001,-109.803221,34.280015,,,POINT(-109.803221 34.280015)
224000,-109.850615,34.283581,,,POINT(-109.850615 34.283581)
223999,-109.838643,34.285655,,,POINT(-109.838643 34.285655)
223998,-109.280328,34.110957,,,POINT(-109.280328 34.110957)
223997,-109.251233,34.109874,,,POINT(-109.251233 34.109874)
223996,-109.287204,34.110955,,,POINT(-109.287204 34.110955)
223995,-109.295906,34.110967,,,POINT(-109.295906 34.110967)
223994,-109.291565,34.110964,,,POINT(-109.291565 34.110964)
223993,-109.306118,34.110666,,,POINT(-109.306118 34.110666)
223992,-109.304702,34.110464,,,POINT(-109.304702 34.110464)
223991,-109.319463,34.110821,,,POINT(-109.319463 34.110821)
223990,-109.348064,34.040149,,,POINT(-109.348064 34.040149)
223989,-109.344896,34.105684,,,POINT(-109.344896 34.105684)
223988,-109.416091,33.913121,,,POINT(-109.416091 33.913121)
223987,-109.501985,33.958892,,,POINT(-109.501985 33.958892)
223986,-109.498948,33.96579,,,POINT(-109.498948 33.96579)
223985,-109.459088,34.042734,,,POINT(-109.459088 34.042734)
223984,-109.909487,34.101973,,,POINT(-109.909487 34.101973)
223983,-109.980949,34.159764,,,POINT(-109.980949 34.159764)
223982,-109.976143,34.157684,,,POINT(-109.976143 34.157684)
223981,-109.906606,34.075909,,,POINT(-109.906606 34.075909)
223980,-110.172137,34.287307,,,POINT(-110.172137 34.287307)
223979,-110.155914,34.285379,,,POINT(-110.155914 34.285379)
223978,-110.093539,34.271917,,,POINT(-110.093539 34.271917)
223977,-110.090233,34.26292,,,POINT(-110.090233 34.26292)
223976,-110.024273,34.273077,,,POINT(-110.024273 34.273077)
223975,-110.027949,34.247845,,,POINT(-110.027949 34.247845)
223974,-110.025303,34.246189,,,POINT(-110.025303 34.246189)
223973,-110.025068,34.241316,,,POINT(-110.025068 34.241316)
223972,-110.029207,34.220602,,,POINT(-110.029207 34.220602)
223971,-110.068475,34.228503,,,POINT(-110.068475 34.228503)
223970,-110.065601,34.233781,,,POINT(-110.065601 34.233781)
223969,-110.061604,34.238528,,,POINT(-110.061604 34.238528)
223968,-110.058714,34.241201,,,POINT(-110.058714 34.241201)
223967,-109.964401,33.861162,,,POINT(-109.964401 33.861162)
223966,-109.96403,33.849942,,,POINT(-109.96403 33.849942)
223965,-109.964028,33.842474,,,POINT(-109.964028 33.842474)
223964,-109.965069,33.834041,,,POINT(-109.965069 33.834041)
223963,-110.006491,33.789688,,,POINT(-110.006491 33.789688)
223962,-109.999592,33.792987,,,POINT(-109.999592 33.792987)
223961,-109.985741,33.814682,,,POINT(-109.985741 33.814682)
223960,-110.179485,33.879248,,,POINT(-110.179485 33.879248)
223959,-110.159937,33.837183,,,POINT(-110.159937 33.837183)
223958,-110.177725,33.904226,,,POINT(-110.177725 33.904226)
223957,-110.174119,33.898004,,,POINT(-110.174119 33.898004)
223956,-110.429459,33.841391,,,POINT(-110.429459 33.841391)
