node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
20270,,-112.185653,33.632364,,,0,0.100000,0.100000,"POINT (-112.185653 33.632364)"
20271,,-112.177765,33.638898,,,0,0.100000,0.100000,"POINT (-112.177765 33.638898)"
39451,,-112.182058,33.638811,,,0,0.100000,0.100000,"POINT (-112.182058 33.638811)"
20272,,-112.186467,33.638710,,,0,0.100000,0.100000,"POINT (-112.186467 33.638710)"
20166,,-112.185679,33.625154,,,0,0.100000,0.100000,"POINT (-112.185679 33.625154)"
20273,,-112.185706,33.627339,,,0,0.100000,0.100000,"POINT (-112.185706 33.627339)"
20274,,-112.168321,33.628673,,,0,0.100000,0.100000,"POINT (-112.168321 33.628673)"
20275,,-112.186734,33.673459,,,0,0.100000,0.100000,"POINT (-112.186734 33.673459)"
20276,,-112.178647,33.669005,,,0,0.100000,0.100000,"POINT (-112.178647 33.669005)"
20277,,-112.186505,33.661364,,,0,0.100000,0.100000,"POINT (-112.186505 33.661364)"
34093,,-112.181666,33.654355,,,0,0.100000,0.100000,"POINT (-112.181666 33.654355)"
20278,,-112.185662,33.668789,,,0,0.100000,0.100000,"POINT (-112.185662 33.668789)"
20279,,-112.179484,33.668462,,,0,0.100000,0.100000,"POINT (-112.179484 33.668462)"
20280,,-112.193427,33.668404,,,0,0.100000,0.100000,"POINT (-112.193427 33.668404)"
20281,,-112.193329,33.668168,,,0,0.100000,0.100000,"POINT (-112.193329 33.668168)"
20282,,-112.179221,33.668221,,,0,0.100000,0.100000,"POINT (-112.179221 33.668221)"
20283,,-112.181266,33.668106,,,0,0.100000,0.100000,"POINT (-112.181266 33.668106)"
20284,,-112.186228,33.667640,,,0,0.100000,0.100000,"POINT (-112.186228 33.667640)"
20285,,-112.179303,33.667885,,,0,0.100000,0.100000,"POINT (-112.179303 33.667885)"
20286,,-112.169300,33.668858,,,0,0.100000,0.100000,"POINT (-112.169300 33.668858)"
20287,,-112.169260,33.669250,,,0,0.100000,0.100000,"POINT (-112.169260 33.669250)"
20288,,-112.186729,33.670371,,,0,0.100000,0.100000,"POINT (-112.186729 33.670371)"
20289,,-112.186576,33.668892,,,0,0.100000,0.100000,"POINT (-112.186576 33.668892)"
20290,,-112.186803,33.669291,,,0,0.100000,0.100000,"POINT (-112.186803 33.669291)"
20291,,-112.186818,33.668640,,,0,0.100000,0.100000,"POINT (-112.186818 33.668640)"
20292,,-112.187093,33.668760,,,0,0.100000,0.100000,"POINT (-112.187093 33.668760)"
20293,,-112.168707,33.669035,,,0,0.100000,0.100000,"POINT (-112.168707 33.669035)"
20294,,-112.169398,33.669267,,,0,0.100000,0.100000,"POINT (-112.169398 33.669267)"
20295,,-112.169439,33.668861,,,0,0.100000,0.100000,"POINT (-112.169439 33.668861)"
20296,,-112.169654,33.668962,,,0,0.100000,0.100000,"POINT (-112.169654 33.668962)"
20297,,-112.187749,33.667599,,,0,0.100000,0.100000,"POINT (-112.187749 33.667599)"
39428,,-112.186306,33.655667,,,0,0.100000,0.100000,"POINT (-112.186306 33.655667)"
39429,,-112.191307,33.654331,,,0,0.100000,0.100000,"POINT (-112.191307 33.654331)"
20298,,-112.188098,33.668720,,,0,0.100000,0.100000,"POINT (-112.188098 33.668720)"
40953,,-112.190350,33.668823,,,0,0.100000,0.100000,"POINT (-112.190350 33.668823)"
20299,,-112.191611,33.668474,,,0,0.100000,0.100000,"POINT (-112.191611 33.668474)"
20300,,-112.194353,33.668402,,,0,0.100000,0.100000,"POINT (-112.194353 33.668402)"
20301,,-112.194273,33.668151,,,0,0.100000,0.100000,"POINT (-112.194273 33.668151)"
34040,,-112.182725,33.654330,,,0,0.100000,0.100000,"POINT (-112.182725 33.654330)"
20302,,-112.186658,33.665286,,,0,0.100000,0.100000,"POINT (-112.186658 33.665286)"
20303,,-112.187538,33.667606,,,0,0.100000,0.100000,"POINT (-112.187538 33.667606)"
20304,,-112.186893,33.667623,,,0,0.100000,0.100000,"POINT (-112.186893 33.667623)"
20305,,-112.186555,33.667213,,,0,0.100000,0.100000,"POINT (-112.186555 33.667213)"
20306,,-112.186597,33.667733,,,0,0.100000,0.100000,"POINT (-112.186597 33.667733)"
20307,,-112.186803,33.667483,,,0,0.100000,0.100000,"POINT (-112.186803 33.667483)"
20308,,-112.185816,33.668786,,,0,0.100000,0.100000,"POINT (-112.185816 33.668786)"
20309,,-112.186512,33.668772,,,0,0.100000,0.100000,"POINT (-112.186512 33.668772)"
20310,,-112.186773,33.667990,,,0,0.100000,0.100000,"POINT (-112.186773 33.667990)"
20311,,-112.186604,33.668374,,,0,0.100000,0.100000,"POINT (-112.186604 33.668374)"
20312,,-112.186346,33.667636,,,0,0.100000,0.100000,"POINT (-112.186346 33.667636)"
20313,,-112.186667,33.667629,,,0,0.100000,0.100000,"POINT (-112.186667 33.667629)"
20314,,-112.186709,33.668768,,,0,0.100000,0.100000,"POINT (-112.186709 33.668768)"
20315,,-112.191802,33.681589,,,0,0.100000,0.100000,"POINT (-112.191802 33.681589)"
20316,,-112.169903,33.668943,,,0,0.100000,0.100000,"POINT (-112.169903 33.668943)"
20317,,-112.174725,33.668591,,,0,0.100000,0.100000,"POINT (-112.174725 33.668591)"
20318,,-112.177237,33.668210,,,0,0.100000,0.100000,"POINT (-112.177237 33.668210)"
20319,,-112.171299,33.667867,,,0,0.100000,0.100000,"POINT (-112.171299 33.667867)"
20320,,-112.177291,33.668468,,,0,0.100000,0.100000,"POINT (-112.177291 33.668468)"
25179,,-112.179777,33.654970,,,0,0.100000,0.100000,"POINT (-112.179777 33.654970)"
20321,,-112.177639,33.668191,,,0,0.100000,0.100000,"POINT (-112.177639 33.668191)"
20322,,-112.177643,33.668467,,,0,0.100000,0.100000,"POINT (-112.177643 33.668467)"
20324,,-112.169069,33.669008,,,0,0.100000,0.100000,"POINT (-112.169069 33.669008)"
20325,,-112.169382,33.668128,,,0,0.100000,0.100000,"POINT (-112.169382 33.668128)"
20326,,-112.168895,33.667864,,,0,0.100000,0.100000,"POINT (-112.168895 33.667864)"
20327,,-112.169214,33.667520,,,0,0.100000,0.100000,"POINT (-112.169214 33.667520)"
20328,,-112.169263,33.667827,,,0,0.100000,0.100000,"POINT (-112.169263 33.667827)"
20323,,-112.169168,33.666627,,,0,0.100000,0.100000,"POINT (-112.169168 33.666627)"
20329,,-112.170588,33.667829,,,0,0.100000,0.100000,"POINT (-112.170588 33.667829)"
20330,,-112.169380,33.667604,,,0,0.100000,0.100000,"POINT (-112.169380 33.667604)"
20331,,-112.169235,33.667933,,,0,0.100000,0.100000,"POINT (-112.169235 33.667933)"
20332,,-112.169421,33.667810,,,0,0.100000,0.100000,"POINT (-112.169421 33.667810)"
20333,,-112.169381,33.668983,,,0,0.100000,0.100000,"POINT (-112.169381 33.668983)"
20334,,-112.169317,33.669458,,,0,0.100000,0.100000,"POINT (-112.169317 33.669458)"
20335,,-112.143075,33.639448,,,0,0.100000,0.100000,"POINT (-112.143075 33.639448)"
20336,,-112.151014,33.632313,,,0,0.100000,0.100000,"POINT (-112.151014 33.632313)"
20337,,-112.151818,33.639303,,,0,0.100000,0.100000,"POINT (-112.151818 33.639303)"
20338,,-112.151056,33.628652,,,0,0.100000,0.100000,"POINT (-112.151056 33.628652)"
20339,,-112.133670,33.627387,,,0,0.100000,0.100000,"POINT (-112.133670 33.627387)"
20341,,-112.151980,33.661865,,,0,0.100000,0.100000,"POINT (-112.151980 33.661865)"
20342,,-112.143230,33.669205,,,0,0.100000,0.100000,"POINT (-112.143230 33.669205)"
20343,,-112.142641,33.670047,,,0,0.100000,0.100000,"POINT (-112.142641 33.670047)"
20344,,-112.151608,33.669820,,,0,0.100000,0.100000,"POINT (-112.151608 33.669820)"
20345,,-112.151999,33.667858,,,0,0.100000,0.100000,"POINT (-112.151999 33.667858)"
20346,,-112.152003,33.669130,,,0,0.100000,0.100000,"POINT (-112.152003 33.669130)"
20347,,-112.155258,33.669618,,,0,0.100000,0.100000,"POINT (-112.155258 33.669618)"
20348,,-112.136403,33.668976,,,0,0.100000,0.100000,"POINT (-112.136403 33.668976)"
20349,,-112.155337,33.669360,,,0,0.100000,0.100000,"POINT (-112.155337 33.669360)"
20350,,-112.134725,33.669505,,,0,0.100000,0.100000,"POINT (-112.134725 33.669505)"
20351,,-112.134723,33.668987,,,0,0.100000,0.100000,"POINT (-112.134723 33.668987)"
20352,,-112.134551,33.668782,,,0,0.100000,0.100000,"POINT (-112.134551 33.668782)"
20353,,-112.134541,33.669320,,,0,0.100000,0.100000,"POINT (-112.134541 33.669320)"
34042,,-112.156277,33.654582,,,0,0.100000,0.100000,"POINT (-112.156277 33.654582)"
20355,,-112.134273,33.658746,,,0,0.100000,0.100000,"POINT (-112.134273 33.658746)"
20356,,-112.134678,33.666921,,,0,0.100000,0.100000,"POINT (-112.134678 33.666921)"
20357,,-112.135740,33.668844,,,0,0.100000,0.100000,"POINT (-112.135740 33.668844)"
20358,,-112.134565,33.668052,,,0,0.100000,0.100000,"POINT (-112.134565 33.668052)"
20359,,-112.134712,33.668492,,,0,0.100000,0.100000,"POINT (-112.134712 33.668492)"
20360,,-112.134642,33.668611,,,0,0.100000,0.100000,"POINT (-112.134642 33.668611)"
20361,,-112.134801,33.668645,,,0,0.100000,0.100000,"POINT (-112.134801 33.668645)"
20362,,-112.134694,33.676450,,,0,0.100000,0.100000,"POINT (-112.134694 33.676450)"
20363,,-112.139016,33.669862,,,0,0.100000,0.100000,"POINT (-112.139016 33.669862)"
20364,,-112.135474,33.669892,,,0,0.100000,0.100000,"POINT (-112.135474 33.669892)"
20365,,-112.134697,33.670989,,,0,0.100000,0.100000,"POINT (-112.134697 33.670989)"
20366,,-112.134431,33.669695,,,0,0.100000,0.100000,"POINT (-112.134431 33.669695)"
20367,,-112.134591,33.670101,,,0,0.100000,0.100000,"POINT (-112.134591 33.670101)"
20368,,-112.134582,33.669723,,,0,0.100000,0.100000,"POINT (-112.134582 33.669723)"
20369,,-112.134706,33.670499,,,0,0.100000,0.100000,"POINT (-112.134706 33.670499)"
6285,,-112.117356,33.585620,,,0,0.100000,0.100000,"POINT (-112.117356 33.585620)"
20370,,-112.106114,33.582021,,,0,0.100000,0.100000,"POINT (-112.106114 33.582021)"
20371,,-112.120745,33.581954,,,0,0.100000,0.100000,"POINT (-112.120745 33.581954)"
33860,,-112.125218,33.589830,,,0,0.100000,0.100000,"POINT (-112.125218 33.589830)"
20373,,-112.099595,33.603770,,,0,0.100000,0.100000,"POINT (-112.099595 33.603770)"
20374,,-112.099661,33.589341,,,0,0.100000,0.100000,"POINT (-112.099661 33.589341)"
20375,,-112.112463,33.581998,,,0,0.100000,0.100000,"POINT (-112.112463 33.581998)"
20376,,-112.099633,33.611067,,,0,0.100000,0.100000,"POINT (-112.099633 33.611067)"
20377,,-112.099631,33.582086,,,0,0.100000,0.100000,"POINT (-112.099631 33.582086)"
20378,,-112.117033,33.588164,,,0,0.100000,0.100000,"POINT (-112.117033 33.588164)"
20379,,-112.117168,33.577113,,,0,0.100000,0.100000,"POINT (-112.117168 33.577113)"
20380,,-112.116564,33.584750,,,0,0.100000,0.100000,"POINT (-112.116564 33.584750)"
20381,,-112.116753,33.588196,,,0,0.100000,0.100000,"POINT (-112.116753 33.588196)"
20382,,-112.095589,33.582084,,,0,0.100000,0.100000,"POINT (-112.095589 33.582084)"
10142,,-112.116543,33.589185,,,0,0.100000,0.100000,"POINT (-112.116543 33.589185)"
20383,,-112.116887,33.576746,,,0,0.100000,0.100000,"POINT (-112.116887 33.576746)"
20384,,-112.099644,33.572238,,,0,0.100000,0.100000,"POINT (-112.099644 33.572238)"
20385,,-112.091233,33.571229,,,0,0.100000,0.100000,"POINT (-112.091233 33.571229)"
20386,,-112.099595,33.567603,,,0,0.100000,0.100000,"POINT (-112.099595 33.567603)"
20387,,-112.094456,33.567545,,,0,0.100000,0.100000,"POINT (-112.094456 33.567545)"
20390,,-112.116988,33.589128,,,0,0.100000,0.100000,"POINT (-112.116988 33.589128)"
20391,,-112.117001,33.584879,,,0,0.100000,0.100000,"POINT (-112.117001 33.584879)"
20392,,-112.116867,33.584933,,,0,0.100000,0.100000,"POINT (-112.116867 33.584933)"
20393,,-112.116823,33.589191,,,0,0.100000,0.100000,"POINT (-112.116823 33.589191)"
34249,,-112.108061,33.589265,,,0,0.100000,0.100000,"POINT (-112.108061 33.589265)"
20395,,-112.108113,33.581975,,,0,0.100000,0.100000,"POINT (-112.108113 33.581975)"
20396,,-112.095469,33.589312,,,0,0.100000,0.100000,"POINT (-112.095469 33.589312)"
