name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
Piestewa Freeway,38,23807260,570,1730,1,423.4220336,1,104.0,,motorway,1,"LINESTRING (-111.9956579 33.6727683, -111.9953521 33.6728108, -111.9950168 33.672842, -111.9932841 33.6729558, -111.9921093 33.6730295, -111.9910981 33.673063)",auto,1,0,,
,39,23807311,575,1432,1,101.9924714,2,,,motorway,1,"LINESTRING (-111.9784277 33.6724792, -111.978049 33.6725251, -111.9779224 33.6725613, -111.9777915 33.6726251, -111.9776797 33.6727121, -111.977652 33.6727384, -111.9776059 33.6727985, -111.9775227 33.6729055)",auto,0,1,,
,40,23807356,575,1128,1,133.4610878,2,,,motorway,1,"LINESTRING (-111.9784277 33.6724792, -111.9780104 33.6724236, -111.9778278 33.6724141, -111.9777569 33.6724028, -111.9776891 33.672382, -111.9776474 33.6723559, -111.9776004 33.6722951, -111.9775712 33.6722361, -111.9775254 33.6718414)",auto,0,1,,
,41,23807364,582,1427,1,23.29269911,1,,,motorway,1,"LINESTRING (-111.9773125 33.6716561, -111.9772221 33.6718516)",auto,0,1,,
,42,23807376,583,1481,1,76.248781,2,,,motorway,1,"LINESTRING (-111.9766272 33.6734262, -111.9768558 33.6733826, -111.9769864 33.6733287, -111.9770783 33.6732756, -111.9771512 33.6732181, -111.9771889 33.673185, -111.9772236 33.6731532, -111.9773044 33.6730739)",auto,0,1,,
,43,23807379,583,1439,1,106.8032157,2,,,motorway,1,"LINESTRING (-111.9766272 33.6734262, -111.9768139 33.6734692, -111.9769828 33.6734651, -111.9770232 33.6734665, -111.9770599 33.673473, -111.9770869 33.6734783, -111.9771131 33.6734894, -111.9771494 33.6735103, -111.9771801 33.6735377, -111.9772052 33.673564, -111.9772386 33.6736094, -111.9772593 33.6736608, -111.9772629 33.6739918)",auto,0,1,,
,44,23807383,1129,1438,1,58.24105485,1,,,motorway,1,"LINESTRING (-111.9775147 33.6745155, -111.9775882 33.6741457, -111.9776021 33.6739972)",auto,0,1,,
,45,23807388,1751,1750,1,49.7736748,2,,,motorway,1,"LINESTRING (-111.9599251 33.6672065, -111.9598328 33.6671579, -111.9594432 33.6670092)",auto,0,1,,
,46,23807388,1750,590,1,28.20546086,2,,,motorway,1,"LINESTRING (-111.9594432 33.6670092, -111.9591662 33.6669034)",auto,0,1,,
,47,23807456,592,593,1,59.40017566,2,,,motorway,1,"LINESTRING (-111.9602138 33.6685694, -111.9603249 33.6686309, -111.9607831 33.6688143)",auto,0,1,,
,48,23807813,501,605,1,441.6630236,1,72.0,,motorway,1,"LINESTRING (-112.0240529 33.6728389, -112.0245438 33.6728947, -112.0249987 33.6729117, -112.0261595 33.6729734, -112.0271098 33.6730323, -112.0279338 33.6730394, -112.0288132 33.6729852)",auto,0,1,,
,49,23807815,606,1528,1,102.6636992,2,72.0,,motorway,1,"LINESTRING (-112.0299811 33.6728662, -112.0304915 33.6727037, -112.0306678 33.6726061, -112.0307308 33.6725626, -112.0308273 33.6724857, -112.0309082 33.672395)",auto,0,1,,
,50,23807819,608,1519,1,8.085048077,2,72.0,,motorway,1,"LINESTRING (-112.0309825 33.6718454, -112.0308973 33.6718615)",auto,0,1,,
,51,23807822,2020,90103,1,19.46149943,2,72.0,,motorway,1,"LINESTRING (-112.0310946 33.6725314, -112.0309914 33.6723789)",auto,0,1,,
,53,23807822,90103,1524,1,8.734130222,2,72.0,,motorway,1,"LINESTRING (-112.0309529 33.6723275, -112.0309021 33.6722613)",auto,0,1,,
