name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,951,1005799440,,,,,secondary,0,-112.1345288,33.6565673,,,
,952,1029122930,,,,,secondary,0,-111.9863016,33.6552302,,,
,953,1029122934,,,,,secondary,0,-111.9922723,33.6552338,,,
,954,1079969329,,,,,secondary,0,-111.9878033,33.6987234,,,
,955,1080090145,,,,,primary,0,-111.9253211,33.6995518,,,
,956,1096480859,,,,,primary,0,-111.925408,33.6860554,,,
,957,1129881148,,,,,secondary,2,-112.1348309,33.690906,,,
,958,1129945953,,,,,secondary,0,-112.1347059,33.6747721,,,
,959,1137627130,motorway_junction,,,,motorway,0,-111.9369066,33.6607062,,,
,960,1137678191,,,,,primary,0,-111.9773258,33.6612605,,,
,962,1181176647,,,,,motorway,0,-111.9368368,33.6604681,,,
,963,1224369914,,,,,motorway,0,-111.9934544,33.6724692,,,
,964,1224380092,traffic_signals,,signal,,motorway,0,-111.942569,33.6612164,,,
,965,1238497316,,,,,primary,-1,-112.2125852,33.6383102,,,
,966,1238547110,,,,,secondary,0,-112.2031132,33.6686922,,,
,967,1238547111,,,,,secondary,0,-112.2031145,33.668929,,,
,968,1251517069,,,,,primary,0,-112.0845504,33.6401329,,,
,969,1251517080,,,,,primary,-1,-112.1002057,33.6329724,,,
,970,1251517093,,,,,secondary,0,-112.1157196,33.6342442,,,
,971,1251517094,,,,,primary,0,-112.1040574,33.6400033,,,
,974,1251517109,,,,,primary,0,-112.1130089,33.6397848,,,
,975,1251517112,,,,,primary,0,-112.0762594,33.6401638,,,
,976,1251517146,,,,,primary,0,-112.0871235,33.6401094,,,
,977,1251517160,,,,,primary,-1,-112.1128099,33.6393452,,,
,978,1251517168,,,,,primary,0,-112.1126994,33.6400132,,,
,979,1251517173,,,,,primary,0,-112.0841243,33.6402734,,,
,981,1251517184,,,,,primary,0,-112.07849,33.6401506,,,
,982,1251517187,,,,,primary,0,-112.0772733,33.6401577,,,
,983,1251517191,,,,,primary,0,-112.099733,33.6335331,,,
,984,1251517210,,,,,primary,0,-112.0841664,33.6401377,,,
,985,1251517257,,,,,primary,0,-112.106045,33.6399668,,,
,986,1251517260,,,,,primary,0,-112.0942272,33.6400874,,,
,987,1251517281,,,,,primary,0,-112.1134608,33.6398534,,,
