,long,lat,order,piece,linkid,group,citycode
89563,-2.2393959999999997,53.48831800000001,4,1,30,30.1,manchester
89564,-2.239341,53.488356,1,1,31,31.1,manchester
89565,-2.2391259999999997,53.48853199999999,2,1,31,31.1,manchester
89566,-2.23905,53.488587,3,1,31,31.1,manchester
89567,-2.2388,53.488684,4,1,31,31.1,manchester
89568,-2.238416,53.488693000000005,5,1,31,31.1,manchester
89569,-2.238057,53.488652,6,1,31,31.1,manchester
89570,-2.23921,53.48833199999999,1,1,32,32.1,manchester
89571,-2.239105,53.488493000000005,2,1,32,32.1,manchester
89572,-2.2389900000000003,53.488547,3,1,32,32.1,manchester
89573,-2.238757,53.488637,4,1,32,32.1,manchester
89574,-2.238385,53.488636,5,1,32,32.1,manchester
89575,-2.238084,53.488604,6,1,32,32.1,manchester
89576,-2.239307,53.488239,1,1,33,33.1,manchester
89577,-2.23938,53.488186999999996,2,1,33,33.1,manchester
89578,-2.23964,53.487970999999995,3,1,33,33.1,manchester
89579,-2.239694,53.487904,4,1,33,33.1,manchester
89580,-2.2373439999999998,53.48935,1,1,34,34.1,manchester
89581,-2.2373060000000002,53.48925500000001,2,1,34,34.1,manchester
89582,-2.23733,53.489177000000005,3,1,34,34.1,manchester
89583,-2.237636,53.488749,4,1,34,34.1,manchester
89584,-2.2375119999999997,53.488581999999994,1,1,35,35.1,manchester
89585,-2.23745,53.488579,2,1,35,35.1,manchester
89586,-2.237043,53.488476,3,1,35,35.1,manchester
89587,-2.2367529999999998,53.488325,4,1,35,35.1,manchester
89588,-2.236469,53.488063000000004,5,1,35,35.1,manchester
89589,-2.237518,53.488547,1,1,36,36.1,manchester
89590,-2.237469,53.488548,2,1,36,36.1,manchester
89591,-2.237064,53.488436,3,1,36,36.1,manchester
89592,-2.236785,53.488285,4,1,36,36.1,manchester
89593,-2.236512,53.488049,5,1,36,36.1,manchester
89594,-2.236469,53.488063000000004,1,1,37,37.1,manchester
89595,-2.236316,53.487903,2,1,37,37.1,manchester
89596,-2.2355650000000002,53.487288,3,1,37,37.1,manchester
89597,-2.236512,53.488049,1,1,38,38.1,manchester
89598,-2.236359,53.487885999999996,2,1,38,38.1,manchester
89599,-2.235629,53.487267,3,1,38,38.1,manchester
89600,-2.2349639999999997,53.487007999999996,1,1,39,39.1,manchester
89601,-2.2349099999999997,53.487028,2,1,39,39.1,manchester
89602,-2.233277,53.48775,3,1,39,39.1,manchester
89603,-2.2326759999999997,53.48798000000001,1,1,40,40.1,manchester
89604,-2.232623,53.488007999999994,2,1,40,40.1,manchester
89605,-2.232287,53.48814,3,1,40,40.1,manchester
89606,-2.231636,53.488365,4,1,40,40.1,manchester
89607,-2.231461,53.488434999999996,5,1,40,40.1,manchester
89608,-2.230968,53.488772,6,1,40,40.1,manchester
89609,-2.230073,53.489406,7,1,40,40.1,manchester
89610,-2.228334,53.49064,8,1,40,40.1,manchester
89611,-2.233095,53.48770699999999,1,1,41,41.1,manchester
89612,-2.233141,53.487687,2,1,41,41.1,manchester
89613,-2.234728,53.486959999999996,3,1,41,41.1,manchester
89614,-2.232802,53.487763,1,1,42,42.1,manchester
89615,-2.232718,53.487730000000006,2,1,42,42.1,manchester
89616,-2.229914,53.486233999999996,3,1,42,42.1,manchester
89617,-2.229962,53.486185,1,1,43,43.1,manchester
89618,-2.230101,53.48625799999999,2,1,43,43.1,manchester
89619,-2.232758,53.487678,3,1,43,43.1,manchester
89620,-2.231611,53.48550899999999,1,1,44,44.1,manchester
89621,-2.2315869999999998,53.485518000000006,2,1,44,44.1,manchester
89622,-2.230121,53.486031999999994,3,1,44,44.1,manchester
89623,-2.229993,53.485981,1,1,45,45.1,manchester
89624,-2.23008,53.485939,2,1,45,45.1,manchester
89625,-2.231474,53.485486,3,1,45,45.1,manchester
89626,-2.23481,53.490038,1,1,46,46.1,manchester
89627,-2.234559,53.49019200000001,2,1,46,46.1,manchester
89628,-2.234429,53.490246,3,1,46,46.1,manchester
89629,-2.233546,53.490464,4,1,46,46.1,manchester
89630,-2.232193,53.490765,5,1,46,46.1,manchester
89631,-2.2299,53.491102000000005,6,1,46,46.1,manchester
89632,-2.229114,53.491189,7,1,46,46.1,manchester
89633,-2.228894,53.491156999999994,8,1,46,46.1,manchester
89634,-2.2282990000000003,53.4909,9,1,46,46.1,manchester
89635,-2.224026,53.488425,1,1,47,47.1,manchester
89636,-2.224951,53.489035,2,1,47,47.1,manchester
89637,-2.226172,53.48978100000001,3,1,47,47.1,manchester
89638,-2.22706,53.490352,4,1,47,47.1,manchester
89639,-2.227736,53.490790000000004,5,1,47,47.1,manchester
89640,-2.2241169999999997,53.488136,1,1,48,48.1,manchester
89641,-2.22416,53.488127,2,1,48,48.1,manchester
89642,-2.226089,53.487366,3,1,48,48.1,manchester
89643,-2.22756,53.486855000000006,4,1,48,48.1,manchester
89644,-2.2294680000000002,53.486166000000004,5,1,48,48.1,manchester
89645,-2.234747,53.486841000000005,1,1,49,49.1,manchester
89646,-2.2343439999999997,53.486619999999995,2,1,49,49.1,manchester
89647,-2.233187,53.48604,3,1,49,49.1,manchester
89648,-2.23207,53.485489,4,1,49,49.1,manchester
89649,-2.235144,53.486739,1,1,50,50.1,manchester
89650,-2.2352,53.48670799999999,2,1,50,50.1,manchester
89651,-2.235643,53.48645,3,1,50,50.1,manchester
89652,-2.235109,53.486711,1,1,51,51.1,manchester
89653,-2.235162,53.486686999999996,2,1,51,51.1,manchester
89654,-2.235589,53.486426,3,1,51,51.1,manchester
89655,-2.235774,53.486520999999996,1,1,52,52.1,manchester
89656,-2.23575,53.486538,2,1,52,52.1,manchester
89657,-2.2353680000000002,53.48678,3,1,52,52.1,manchester
89658,-2.235719,53.486484999999995,1,1,53,53.1,manchester
89659,-2.23569,53.48650799999999,2,1,53,53.1,manchester
89660,-2.235321,53.486755,3,1,53,53.1,manchester
89661,-2.234473,53.489236,1,1,54,54.1,manchester
89662,-2.2340869999999997,53.48893,2,1,54,54.1,manchester
