corridor_id,agent_id,date,utd,trace_id,hh,mm,ss,y_coord,x_coord
Cheetham Hill Road,30,,89557,2,,None,,53.48798000000001,-2.24037
Cheetham Hill Road,30,,89558,3,,None,,53.489086,-2.241391
Cheetham Hill Road,30,,89559,4,,None,,53.489171,-2.241568
Corporation Street,31,,89560,0,,None,,53.487892,-2.239978
Corporation Street,31,,89561,1,,None,,53.487942,-2.23982
Corporation Street,31,,89562,2,,None,,53.488125,-2.23958
Corporation Street,31,,89563,3,,None,,53.48831800000001,-2.239396
Corporation Street,32,,89564,0,,None,,53.488356,-2.239341
Corporation Street,32,,89565,1,,None,,53.48853199999999,-2.239126
Corporation Street,32,,89566,2,,None,,53.488587,-2.23905
Corporation Street,32,,89567,3,,None,,53.488684,-2.2388
Corporation Street,32,,89568,4,,None,,53.48869300000001,-2.238416
Corporation Street,32,,89569,5,,None,,53.488652,-2.238057
Corporation Street,33,,89570,0,,None,,53.48833199999999,-2.23921
Corporation Street,33,,89571,1,,None,,53.48849300000001,-2.239105
Corporation Street,33,,89572,2,,None,,53.488547,-2.2389900000000003
Corporation Street,33,,89573,3,,None,,53.488637,-2.238757
Corporation Street,33,,89574,4,,None,,53.488636,-2.238385
Corporation Street,33,,89575,5,,None,,53.488604,-2.238084
Corporation Street,34,,89576,0,,None,,53.488239,-2.239307
Corporation Street,34,,89577,1,,None,,53.488187,-2.23938
Corporation Street,34,,89578,2,,None,,53.487971,-2.23964
Corporation Street,34,,89579,3,,None,,53.487904,-2.239694
Dantzic Street,35,,89580,0,,None,,53.48935,-2.237344
Dantzic Street,35,,89581,1,,None,,53.48925500000001,-2.237306
Dantzic Street,35,,89582,2,,None,,53.48917700000001,-2.23733
Dantzic Street,35,,89583,3,,None,,53.488749,-2.237636
St Michael's Square,36,,89584,0,,None,,53.488582,-2.237512
St Michael's Square,36,,89585,1,,None,,53.488579,-2.23745
St Michael's Square,36,,89586,2,,None,,53.488476,-2.237043
St Michael's Square,36,,89587,3,,None,,53.488325,-2.236753
St Michael's Square,36,,89588,4,,None,,53.488063,-2.236469
St Michael's Square,37,,89589,0,,None,,53.488547,-2.237518
St Michael's Square,37,,89590,1,,None,,53.488548,-2.237469
St Michael's Square,37,,89591,2,,None,,53.488436,-2.237064
St Michael's Square,37,,89592,3,,None,,53.488285,-2.236785
St Michael's Square,37,,89593,4,,None,,53.488049,-2.236512
Angel Street,38,,89594,0,,None,,53.488063,-2.236469
Angel Street,38,,89595,1,,None,,53.487903,-2.236316
Angel Street,38,,89596,2,,None,,53.487288,-2.235565
Angel Street,39,,89597,0,,None,,53.488049,-2.236512
Angel Street,39,,89598,1,,None,,53.487886,-2.236359
Angel Street,39,,89599,2,,None,,53.487267,-2.235629
Rochdale Road,40,,89600,0,,None,,53.487008,-2.234964
Rochdale Road,40,,89601,1,,None,,53.487028,-2.23491
Rochdale Road,40,,89602,2,,None,,53.48775,-2.233277
Rochdale Road,41,,89603,0,,None,,53.48798000000001,-2.232676
Rochdale Road,41,,89604,1,,None,,53.488008,-2.232623
Rochdale Road,41,,89605,2,,None,,53.48814,-2.232287
Rochdale Road,41,,89606,3,,None,,53.488365,-2.231636
Rochdale Road,41,,89607,4,,None,,53.488435,-2.231461
Rochdale Road,41,,89608,5,,None,,53.488772,-2.230968
Rochdale Road,41,,89609,6,,None,,53.489406,-2.230073
Rochdale Road,41,,89610,7,,None,,53.49064,-2.228334
Rochdale Road,42,,89611,0,,None,,53.48770699999999,-2.233095
Rochdale Road,42,,89612,1,,None,,53.487687,-2.233141
Rochdale Road,42,,89613,2,,None,,53.48696,-2.234728
Thompson Street,43,,89614,0,,None,,53.487763,-2.232802
Thompson Street,43,,89615,1,,None,,53.487730000000006,-2.232718
Thompson Street,43,,89616,2,,None,,53.486234,-2.229914
Thompson Street,44,,89617,0,,None,,53.486185,-2.229962
Thompson Street,44,,89618,1,,None,,53.48625799999999,-2.230101
Thompson Street,44,,89619,2,,None,,53.487678,-2.232758
Oldham Road,45,,89620,0,,None,,53.48550899999999,-2.231611
Oldham Road,45,,89621,1,,None,,53.485518000000006,-2.231587
Oldham Road,45,,89622,2,,None,,53.486032,-2.230121
