,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode
135,89533,-2.239729,53.491462,2,1,23,23.1,manchester
136,89534,-2.240535,53.491647,3,1,23,23.1,manchester
137,89535,-2.24061,53.491796,1,1,24,24.1,manchester
138,89536,-2.24137,53.490487,2,1,24,24.1,manchester
139,89537,-2.241557,53.490042,3,1,24,24.1,manchester
140,89538,-2.2415700000000003,53.48966400000001,4,1,24,24.1,manchester
141,89539,-2.241391,53.490438,1,1,25,25.1,manchester
142,89540,-2.24159,53.490107,2,1,25,25.1,manchester
143,89541,-2.2416270000000003,53.489649,3,1,25,25.1,manchester
144,89542,-2.241737,53.48961,1,1,26,26.1,manchester
145,89543,-2.241684,53.490085,2,1,26,26.1,manchester
146,89544,-2.241364,53.49066800000001,3,1,26,26.1,manchester
147,89545,-2.240806,53.491611,4,1,26,26.1,manchester
148,89546,-2.241452,53.489325,1,1,27,27.1,manchester
149,89547,-2.241421,53.48927800000001,2,1,27,27.1,manchester
150,89548,-2.240566,53.488388,3,1,27,27.1,manchester
151,89549,-2.240214,53.487989,4,1,27,27.1,manchester
152,89550,-2.240184,53.487832,1,1,28,28.1,manchester
153,89551,-2.24031,53.487997,2,1,28,28.1,manchester
154,89552,-2.240637,53.488366000000006,3,1,28,28.1,manchester
155,89553,-2.241332,53.489084,4,1,28,28.1,manchester
156,89554,-2.241566,53.489282,5,1,28,28.1,manchester
157,89555,-2.24032,53.487738,1,1,29,29.1,manchester
158,89556,-2.240327,53.487922,2,1,29,29.1,manchester
159,89557,-2.24037,53.48798000000001,3,1,29,29.1,manchester
160,89558,-2.241391,53.489086,4,1,29,29.1,manchester
161,89559,-2.241568,53.489171,5,1,29,29.1,manchester
162,89560,-2.239978,53.487892,1,1,30,30.1,manchester
163,89561,-2.23982,53.487942,2,1,30,30.1,manchester
164,89562,-2.23958,53.488125,3,1,30,30.1,manchester
165,89563,-2.239396,53.48831800000001,4,1,30,30.1,manchester
166,89564,-2.239341,53.488356,1,1,31,31.1,manchester
167,89565,-2.239126,53.48853199999999,2,1,31,31.1,manchester
168,89566,-2.23905,53.488587,3,1,31,31.1,manchester
