agent_id,o_zone_id,d_zone_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,speed,geometry
1,0,0,13378,2495,0,13905.42,0000:00,17,0,0,154.8,"LINESTRING (-77.250352 38.937811,)"
1,0,0,2495,9817,0,13965.20,0000:00,17,0,0,215.2,"LINESTRING (-77.250051 38.937503,-77.249811 38.937255,)"
1,0,0,9817,13379,0,14121.47,0000:00,17,0,0,562.6,"LINESTRING (-77.249642 38.937070,-77.249469 38.936883,-77.249377 38.936783,-77.248723 38.936110,)"
1,0,0,13379,14753,0,14178.30,0000:00,17,0,0,204.6,"LINESTRING (-77.248561 38.935944,-77.248313 38.935690,)"
1,0,0,14753,1299,0,14244.85,0000:00,17,0,0,239.6,"LINESTRING (-77.248159 38.935540,)"
1,0,0,1299,1894,0,14303.42,0000:00,17,0,0,210.9,"LINESTRING (-77.247672 38.935076,)"
1,0,0,1894,2494,0,14434.73,0000:00,17,0,0,472.7,"LINESTRING (-77.247239 38.934671,)"
1,0,0,2494,849,0,14457.06,0000:00,17,0,0,80.4,"LINESTRING (-77.246315 38.933734,)"
1,0,0,849,9833,0,14576.46,0000:00,17,0,0,429.8,"LINESTRING (-77.246168 38.933569,-77.245970 38.933362,-77.245766 38.933110,)"
1,0,0,9833,2493,0,14659.57,0000:00,18,0,0,299.2,"LINESTRING (-77.245418 38.932668,-77.245335 38.932570,-77.245285 38.932508,-77.245211 38.932419,-77.245065 38.932243,-77.244991 38.932155,)"
1,0,0,2493,784,0,14749.09,0000:00,18,0,0,322.3,"LINESTRING (-77.244889 38.932045,-77.244682 38.931827,-77.244592 38.931731,-77.244476 38.931602,)"
1,0,0,784,9831,0,14951.86,0000:00,18,0,0,729.9,"LINESTRING (-77.244283 38.931392,-77.243887 38.930989,-77.243785 38.930882,-77.243542 38.930638,-77.243380 38.930468,-77.243032 38.930098,-77.243003 38.930067,)"
1,0,0,9831,14128,0,15127.55,0000:00,18,0,0,632.5,"LINESTRING (-77.242877 38.929933,-77.242753 38.929807,-77.242609 38.929656,-77.242307 38.929355,-77.242148 38.929189,-77.241830 38.928867,)"
1,0,0,14128,14129,0,15135.14,0000:00,18,0,0,27.3,"LINESTRING (-77.241639 38.928681,)"
1,0,0,14129,2492,0,15177.42,0000:00,18,0,0,152.2,"LINESTRING (-77.241584 38.928627,-77.241430 38.928477,)"
