node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id,geometry
100000042,89439,-2.255248,53.487797,,4,,,,POINT (-2.255248 53.487797)
100000043,89440,-2.2535380000000003,53.48686,,4,,,,POINT (-2.2535380000000003 53.48686)
100000044,89441,-2.2535380000000003,53.48686,,5,,,,POINT (-2.2535380000000003 53.48686)
100000045,89442,-2.2533380000000003,53.487007,,5,,,,POINT (-2.2533380000000003 53.487007)
100000046,89443,-2.2526,53.487372,,5,,,,POINT (-2.2526 53.487372)
100000047,89444,-2.251857,53.487712,,5,,,,POINT (-2.251857 53.487712)
100000048,89445,-2.251307,53.48791,,5,,,,POINT (-2.251307 53.48791)
100000049,89446,-2.251208,53.487846,,6,,,,POINT (-2.251208 53.487846)
100000050,89447,-2.251292,53.487819,,6,,,,POINT (-2.251292 53.487819)
100000051,89448,-2.252377,53.48734,,6,,,,POINT (-2.252377 53.48734)
100000052,89449,-2.253273,53.486872,,6,,,,POINT (-2.253273 53.486872)
100000053,89450,-2.253434,53.486802,,6,,,,POINT (-2.253434 53.486802)
100000054,89451,-2.251232,53.487864,,7,,,,POINT (-2.251232 53.487864)
100000055,89452,-2.252605,53.487275,,7,,,,POINT (-2.252605 53.487275)
100000056,89453,-2.252798,53.487187,,7,,,,POINT (-2.252798 53.487187)
100000057,89454,-2.253575,53.486802,,7,,,,POINT (-2.253575 53.486802)
100000058,89455,-2.2557810000000003,53.485393,,8,,,,POINT (-2.2557810000000003 53.485393)
100000059,89456,-2.255578,53.485577,,8,,,,POINT (-2.255578 53.485577)
100000060,89457,-2.255067,53.486012,,8,,,,POINT (-2.255067 53.486012)
100000061,89458,-2.25463,53.486288,,8,,,,POINT (-2.25463 53.486288)
100000062,89459,-2.253664,53.486829,,8,,,,POINT (-2.253664 53.486829)
100000063,89460,-2.254571,53.486319,,9,,,,POINT (-2.254571 53.486319)
100000064,89461,-2.254314,53.486408,,9,,,,POINT (-2.254314 53.486408)
100000065,89462,-2.254263,53.486439,,9,,,,POINT (-2.254263 53.486439)
100000066,89463,-2.253575,53.486802,,9,,,,POINT (-2.253575 53.486802)
100000067,89464,-2.253434,53.486802,,10,,,,POINT (-2.253434 53.486802)
100000068,89465,-2.253718,53.486637,,10,,,,POINT (-2.253718 53.486637)
100000069,89466,-2.254173,53.486398,,10,,,,POINT (-2.254173 53.486398)
100000070,89467,-2.254802,53.48601899999999,,10,,,,POINT (-2.254802 53.48601899999999)
100000071,89468,-2.25533,53.48556899999999,,10,,,,POINT (-2.25533 53.48556899999999)
100000072,89469,-2.25124,53.48979300000001,,11,,,,POINT (-2.25124 53.48979300000001)
100000073,89470,-2.251146,53.489597,,11,,,,POINT (-2.251146 53.489597)
100000074,89471,-2.251114,53.489172,,11,,,,POINT (-2.251114 53.489172)
100000075,89472,-2.251178,53.488517,,11,,,,POINT (-2.251178 53.488517)
100000076,89473,-2.25117,53.48824200000001,,11,,,,POINT (-2.25117 53.48824200000001)
100000077,89474,-2.2511,53.48810600000001,,11,,,,POINT (-2.2511 53.48810600000001)
100000078,89475,-2.250859,53.488026,,12,,,,POINT (-2.250859 53.488026)
100000079,89476,-2.250818,53.488037,,12,,,,POINT (-2.250818 53.488037)
100000080,89477,-2.250035,53.488184,,12,,,,POINT (-2.250035 53.488184)
100000081,89478,-2.2495,53.488264,,12,,,,POINT (-2.2495 53.488264)
100000082,89479,-2.249089,53.48828100000001,,12,,,,POINT (-2.249089 53.48828100000001)
100000083,89480,-2.247739,53.488302,,12,,,,POINT (-2.247739 53.488302)
100000084,89481,-2.246801,53.488354,,12,,,,POINT (-2.246801 53.488354)
