agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
2,1027,510,0,3078.34,0000:00,0,0,0,"LINESTRING (-2.2523853 53.4914814, -2.2525474 53.4915618, -2.2528221 53.4918478, -2.2530277 53.4919144, -2.2533833 53.4920295, -2.2534057 53.4920367, -2.253905 53.4920578)"
2,510,2011,0,3187.04,0000:00,0,0,0,"LINESTRING (-2.253905 53.4920578, -2.2539344 53.4917568, -2.2539524 53.4917353, -2.253993 53.491725, -2.2542895 53.4917366, -2.2546439 53.4919392, -2.2546277 53.4920253, -2.2546146 53.4920948)"
2,2011,511,0,3261.54,0000:00,0,0,0,"LINESTRING (-2.2546146 53.4920948, -2.2557382 53.492139)"
2,511,1986,0,3497.85,0000:00,0,0,0,"LINESTRING (-2.2557382 53.492139, -2.2557809 53.4915245, -2.255856 53.4914351, -2.256092 53.4913777, -2.2582065 53.4914161)"
2,1986,2128,0,3519.17,0000:00,5,0,0,"LINESTRING (-2.2582065 53.4914161, -2.2585286 53.4914219)"
2,2128,1970,0,3584.71,0000:00,5,0,0,"LINESTRING (-2.2585286 53.4914219, -2.2592095 53.4914343, -2.2595188 53.4914399)"
2,1970,2130,0,3631.70,0000:00,5,0,0,"LINESTRING (-2.2595188 53.4914399, -2.259536 53.4911415, -2.2595405 53.4910175)"
2,2130,1968,0,3650.78,0000:00,5,0,0,"LINESTRING (-2.2595405 53.4910175, -2.2595468 53.4908459)"
3,1530,1499,0,152.32,0000:00,2,0,0,"LINESTRING (-2.2571402 53.488779, -2.2575619 53.4889785, -2.2578129 53.4891093, -2.2584619 53.4894705, -2.2588494 53.4896953)"
4,1445,1447,0,28.12,0000:00,0,0,0,"LINESTRING (-2.2536785 53.486818, -2.2537935 53.4868823, -2.2539881 53.4869912)"
4,1447,1724,0,48.84,0000:00,0,0,0,"LINESTRING (-2.2539881 53.4869912, -2.2542176 53.4871181)"
4,1724,1548,0,96.23,0000:00,1,0,0,"LINESTRING (-2.2542176 53.4871181, -2.254553 53.4873035, -2.2547345 53.4874129)"
4,1548,1740,0,169.34,0000:00,1,0,0,"LINESTRING (-2.2547345 53.4874129, -2.2554808 53.4878979)"
