tmc_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000031,VA-7_EASTBOUND,65.0,100000031,100000032,0000_0015,2015-04-01,"LINESTRING (-77.1996 38.9005,-77.1943 38.8971)",,,33,,,,
100000031,VA-7_EASTBOUND,65.0,100000031,100000032,0015_0030,2015-04-01,"LINESTRING (-77.1996 38.9005,-77.1943 38.8971)",,,33,,,,
100000031,VA-7_EASTBOUND,65.0,100000031,100000032,,,"LINESTRING (-77.1996 38.9005,-77.1943 38.8971)",,,,,,,
100000032,VA-7_WESTBOUND,22.0,100000033,100000034,0000_0015,2015-04-01,"LINESTRING (-77.1943 38.8973,-77.1992 38.9005)",,,29,,,,
100000032,VA-7_WESTBOUND,22.0,100000033,100000034,0015_0030,2015-04-01,"LINESTRING (-77.1943 38.8973,-77.1992 38.9005)",,,29,,,,
100000032,VA-7_WESTBOUND,22.0,100000033,100000034,,,"LINESTRING (-77.1943 38.8973,-77.1992 38.9005)",,,,,,,
100000033,VA-7_WESTBOUND,23.0,100000034,100000035,0000_0015,2015-04-01,"LINESTRING (-77.1992 38.9005,-77.1996 38.9007)",,,31,,,,
100000033,VA-7_WESTBOUND,23.0,100000034,100000035,0015_0030,2015-04-01,"LINESTRING (-77.1992 38.9005,-77.1996 38.9007)",,,31,,,,
100000033,VA-7_WESTBOUND,23.0,100000034,100000035,,,"LINESTRING (-77.1992 38.9005,-77.1996 38.9007)",,,,,,,
100000034,VA-7_WESTBOUND,24.0,100000035,100000036,0000_0015,2015-04-01,"LINESTRING (-77.1996 38.9007,-77.2145 38.9088)",,,31,,,,
100000034,VA-7_WESTBOUND,24.0,100000035,100000036,0015_0030,2015-04-01,"LINESTRING (-77.1996 38.9007,-77.2145 38.9088)",,,31,,,,
100000034,VA-7_WESTBOUND,24.0,100000035,100000036,,,"LINESTRING (-77.1996 38.9007,-77.2145 38.9088)",,,,,,,
100000035,VA-7_WESTBOUND,24.1,100000036,100000037,0000_0015,2015-04-01,"LINESTRING (-77.2145 38.9088,-77.2148 38.9089)",,,31,,,,
100000035,VA-7_WESTBOUND,24.1,100000036,100000037,0015_0030,2015-04-01,"LINESTRING (-77.2145 38.9088,-77.2148 38.9089)",,,31,,,,
100000035,VA-7_WESTBOUND,24.1,100000036,100000037,,,"LINESTRING (-77.2145 38.9088,-77.2148 38.9089)",,,,,,,
100000036,VA-7_WESTBOUND,25.0,100000037,100000038,0000_0015,2015-04-01,"LINESTRING (-77.2148 38.9089,-77.2154 38.9093)",,,31,,,,
100000036,VA-7_WESTBOUND,25.0,100000037,100000038,0015_0030,2015-04-01,"LINESTRING (-77.2148 38.9089,-77.2154 38.9093)",,,31,,,,
100000036,VA-7_WESTBOUND,25.0,100000037,100000038,,,"LINESTRING (-77.2148 38.9089,-77.2154 38.9093)",,,,,,,
100000037,VA-7_WESTBOUND,26.0,100000038,100000039,0000_0015,2015-04-01,"LINESTRING (-77.2154 38.9093,-77.2214 38.9125)",,,35,,,,
100000037,VA-7_WESTBOUND,26.0,100000038,100000039,0015_0030,2015-04-01,"LINESTRING (-77.2154 38.9093,-77.2214 38.9125)",,,35,,,,
100000037,VA-7_WESTBOUND,26.0,100000038,100000039,,,"LINESTRING (-77.2154 38.9093,-77.2214 38.9125)",,,,,,,
100000038,VA-7_WESTBOUND,27.0,100000039,100000040,0000_0015,2015-04-01,"LINESTRING (-77.2214 38.9125,-77.226 38.9154)",,,32,,,,
100000038,VA-7_WESTBOUND,27.0,100000039,100000040,0015_0030,2015-04-01,"LINESTRING (-77.2214 38.9125,-77.226 38.9154)",,,32,,,,
100000038,VA-7_WESTBOUND,27.0,100000039,100000040,,,"LINESTRING (-77.2214 38.9125,-77.226 38.9154)",,,,,,,
