,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode,detectors,detid,detectors_length,pos,fclass,road,limit,detectors_citycode,lanes,detectors_long,detectors_lat
59,89457,-2.255067,53.486012,3,1,8,8.1,manchester,15289.0,N06421B,0.21383977216511604,0.189325358176948,trunk,Trinity Way,48.0,manchester,2.0,-2.255578,53.485577
60,89458,-2.25463,53.486288,4,1,8,8.1,manchester,15289.0,N06421B,0.21383977216511604,0.189325358176948,trunk,Trinity Way,48.0,manchester,2.0,-2.255578,53.485577
61,89459,-2.253664,53.486829,5,1,8,8.1,manchester,15289.0,N06421B,0.21383977216511604,0.189325358176948,trunk,Trinity Way,48.0,manchester,2.0,-2.255578,53.485577
62,89460,-2.254571,53.486319,1,1,9,9.1,manchester,15288.0,N06421A,0.085534971262132,0.060974421832341,trunk,Trinity Way,48.0,manchester,1.0,-2.254263,53.486439
63,89461,-2.254314,53.486408,2,1,9,9.1,manchester,15288.0,N06421A,0.085534971262132,0.060974421832341,trunk,Trinity Way,48.0,manchester,1.0,-2.254263,53.486439
64,89462,-2.254263,53.486439,3,1,9,9.1,manchester,15288.0,N06421A,0.085534971262132,0.060974421832341,trunk,Trinity Way,48.0,manchester,1.0,-2.254263,53.486439
65,89463,-2.253575,53.486802,4,1,9,9.1,manchester,15288.0,N06421A,0.085534971262132,0.060974421832341,trunk,Trinity Way,48.0,manchester,1.0,-2.254263,53.486439
66,89464,-2.253434,53.486802,1,1,10,10.1,manchester,15295.0,N06431Y,0.18704457149768,0.16072686379375,trunk,Trinity Way,48.0,manchester,2.0,-2.253718,53.486637
67,89465,-2.253718,53.486637,2,1,10,10.1,manchester,15295.0,N06431Y,0.18704457149768,0.16072686379375,trunk,Trinity Way,48.0,manchester,2.0,-2.253718,53.486637
68,89466,-2.254173,53.486398,3,1,10,10.1,manchester,15295.0,N06431Y,0.18704457149768,0.16072686379375,trunk,Trinity Way,48.0,manchester,2.0,-2.253718,53.486637
69,89467,-2.254802,53.48601899999999,4,1,10,10.1,manchester,15295.0,N06431Y,0.18704457149768,0.16072686379375,trunk,Trinity Way,48.0,manchester,2.0,-2.253718,53.486637
70,89468,-2.25533,53.48556899999999,5,1,10,10.1,manchester,15295.0,N06431Y,0.18704457149768,0.16072686379375,trunk,Trinity Way,48.0,manchester,2.0,-2.253718,53.486637
71,89469,-2.25124,53.48979300000001,1,1,11,11.1,manchester,15286.0,N06411J,0.189504714930824,0.046444503096460005,other,Springfield Lane,0.0,manchester,1.0,-2.251178,53.488517
72,89470,-2.251146,53.489597,2,1,11,11.1,manchester,15286.0,N06411J,0.189504714930824,0.046444503096460005,other,Springfield Lane,0.0,manchester,1.0,-2.251178,53.488517
73,89471,-2.251114,53.489172,3,1,11,11.1,manchester,15286.0,N06411J,0.189504714930824,0.046444503096460005,other,Springfield Lane,0.0,manchester,1.0,-2.251178,53.488517
74,89472,-2.251178,53.488517,4,1,11,11.1,manchester,15286.0,N06411J,0.189504714930824,0.046444503096460005,other,Springfield Lane,0.0,manchester,1.0,-2.251178,53.488517
75,89473,-2.25117,53.48824200000001,5,1,11,11.1,manchester,15286.0,N06411J,0.189504714930824,0.046444503096460005,other,Springfield Lane,0.0,manchester,1.0,-2.251178,53.488517
76,89474,-2.2511,53.48810600000001,6,1,11,11.1,manchester,15286.0,N06411J,0.189504714930824,0.046444503096460005,other,Springfield Lane,0.0,manchester,1.0,-2.251178,53.488517
77,89475,-2.250859,53.488026,1,1,12,12.1,manchester,15281.0,N06351L,0.31558150036176,0.312597334164347,trunk,Trinity Way,48.0,manchester,2.0,-2.250818,53.488037
