link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,parent_link_id,length,grade,facility_type,capacity,free_speed,lanes
100000396,89895,Newton Street,2,100000498,100000499,,,"LINESTRING (-2.23254 53.482171,-2.231603 53.48283000000001)",,,,primary,,,48.0,1.0
100000397,89896,Newton Street,3,100000499,100000500,,,"LINESTRING (-2.231603 53.48283000000001,-2.2307810000000003 53.48343000000001)",,,,primary,,,48.0,1.0
100000398,89898,Lever Street,1,100000501,100000502,,,"LINESTRING (-2.23362 53.482708,-2.232555 53.483454)",,,,primary,,,32.0,2.0
100000399,89899,Lever Street,2,100000502,100000503,,,"LINESTRING (-2.232555 53.483454,-2.231807 53.484001)",,,,primary,,,32.0,2.0
100000400,89901,Laystall Street,1,100000504,100000505,,,"LINESTRING (-2.228476 53.481009,-2.227908 53.481184)",,,,tertiary,,,0.0,1.0
100000401,89902,Laystall Street,2,100000505,100000506,,,"LINESTRING (-2.227908 53.481184,-2.2270060000000003 53.48145400000001)",,,,tertiary,,,0.0,1.0
100000402,89904,Store Street,1,100000507,100000508,,,"LINESTRING (-2.232048 53.477736,-2.230445 53.47836700000001)",,,,tertiary,,,0.0,1.0
100000403,89905,Store Street,2,100000508,100000509,,,"LINESTRING (-2.230445 53.47836700000001,-2.228723 53.479053)",,,,tertiary,,,0.0,1.0
100000404,89906,Store Street,3,100000509,100000510,,,"LINESTRING (-2.228723 53.479053,-2.226019 53.480113)",,,,tertiary,,,0.0,1.0
100000405,89907,Store Street,4,100000510,100000511,,,"LINESTRING (-2.226019 53.480113,-2.225517 53.48033100000001)",,,,tertiary,,,0.0,1.0
100000406,89908,Store Street,5,100000511,100000512,,,"LINESTRING (-2.225517 53.48033100000001,-2.224785 53.480642)",,,,tertiary,,,0.0,1.0
100000407,89910,Adair Street,1,100000513,100000514,,,"LINESTRING (-2.228036 53.476073,-2.227821 53.476123)",,,,other,,,0.0,1.0
100000408,89911,Adair Street,2,100000514,100000515,,,"LINESTRING (-2.227821 53.476123,-2.227545 53.47623000000001)",,,,other,,,0.0,1.0
100000409,89912,Adair Street,3,100000515,100000516,,,"LINESTRING (-2.227545 53.47623000000001,-2.225764 53.476873)",,,,other,,,0.0,1.0
100000410,89913,Adair Street,4,100000516,100000517,,,"LINESTRING (-2.225764 53.476873,-2.224251 53.47743000000001)",,,,other,,,0.0,1.0
100000411,89914,Adair Street,5,100000517,100000518,,,"LINESTRING (-2.224251 53.47743000000001,-2.22349 53.477938)",,,,other,,,0.0,1.0
100000412,89915,Adair Street,6,100000518,100000519,,,"LINESTRING (-2.22349 53.477938,-2.222575 53.478522)",,,,other,,,0.0,1.0
