,link_id,from_node_id,to_node_id,lanes,length,time_period,date,geometry,volume,speed
1,2684.0,1457.0,1534.0,,211.0,2325_2340,2017-09-29,"LINESTRING (-2.2572367 53.4886882, -2.2568978 53.4882358, -2.2567836 53.4880833, -2.2567656 53.4880592, -2.256749 53.4880294, -2.2567447 53.4879931, -2.2567464 53.4879683, -2.2567974 53.4878711, -2.2569133 53.4876636, -2.2570504 53.4873607, -2.2571421 53.4868829)",0.0,0.0
0,2686.0,1534.0,1000.0,,94.0,2310_2325,2017-09-29,"LINESTRING (-2.2571421 53.4868829, -2.2572249 53.4864952, -2.2573344 53.4860449)",0.0,0.0
1,2686.0,1534.0,1000.0,,94.0,2325_2340,2017-09-29,"LINESTRING (-2.2571421 53.4868829, -2.2572249 53.4864952, -2.2573344 53.4860449)",0.0,0.0
0,2688.0,1000.0,998.0,,9.0,2310_2325,2017-09-29,"LINESTRING (-2.2573344 53.4860449, -2.257352 53.4859608)",0.0,0.0
1,2688.0,1000.0,998.0,,9.0,2325_2340,2017-09-29,"LINESTRING (-2.2573344 53.4860449, -2.257352 53.4859608)",0.0,0.0
0,2690.0,998.0,1286.0,,95.0,2310_2325,2017-09-29,"LINESTRING (-2.257352 53.4859608, -2.2573996 53.4857686, -2.2574133 53.4857096, -2.2575693 53.4851205)",0.0,0.0
1,2690.0,998.0,1286.0,,95.0,2325_2340,2017-09-29,"LINESTRING (-2.257352 53.4859608, -2.2573996 53.4857686, -2.2574133 53.4857096, -2.2575693 53.4851205)",0.0,0.0
0,2692.0,1286.0,254.0,,48.0,2310_2325,2017-09-29,"LINESTRING (-2.2575693 53.4851205, -2.2576623 53.4846947)",0.0,0.0
1,2692.0,1286.0,254.0,,48.0,2325_2340,2017-09-29,"LINESTRING (-2.2575693 53.4851205, -2.2576623 53.4846947)",0.0,0.0
0,2694.0,254.0,1686.0,,103.0,2310_2325,2017-09-29,"LINESTRING (-2.2576623 53.4846947, -2.2578773 53.4837765)",0.0,0.0
1,2694.0,254.0,1686.0,,103.0,2325_2340,2017-09-29,"LINESTRING (-2.2576623 53.4846947, -2.2578773 53.4837765)",0.0,0.0
0,2696.0,1686.0,1170.0,,46.0,2310_2325,2017-09-29,"LINESTRING (-2.2578773 53.4837765, -2.257991 53.4833683)",0.0,0.0
1,2696.0,1686.0,1170.0,,46.0,2325_2340,2017-09-29,"LINESTRING (-2.2578773 53.4837765, -2.257991 53.4833683)",0.0,0.0
0,2455.0,1170.0,35.0,,31.0,2310_2325,2017-09-29,"LINESTRING (-2.257991 53.4833683, -2.2577244 53.4833706, -2.2575211 53.4833713)",0.0,0.0
1,2455.0,1170.0,35.0,,31.0,2325_2340,2017-09-29,"LINESTRING (-2.257991 53.4833683, -2.2577244 53.4833706, -2.2575211 53.4833713)",0.0,0.0
0,4456.0,35.0,34.0,,48.0,2310_2325,2017-09-29,"LINESTRING (-2.2575211 53.4833713, -2.2574134 53.4835764, -2.2572973 53.4837807)",0.0,0.0
1,4456.0,35.0,34.0,,48.0,2325_2340,2017-09-29,"LINESTRING (-2.2575211 53.4833713, -2.2574134 53.4835764, -2.2572973 53.4837807)",0.0,0.0
0,4457.0,34.0,1442.0,,341.0,2310_2325,2017-09-29,"LINESTRING (-2.2572973 53.4837807, -2.2570107 53.4841884, -2.2565548 53.4847053, -2.2563378 53.4849201, -2.2555485 53.4856097, -2.2551165 53.4859557, -2.2550623 53.4859925, -2.2545396 53.4863472)",0.0,0.0
1,4457.0,34.0,1442.0,,341.0,2325_2340,2017-09-29,"LINESTRING (-2.2572973 53.4837807, -2.2570107 53.4841884, -2.2565548 53.4847053, -2.2563378 53.4849201, -2.2555485 53.4856097, -2.2551165 53.4859557, -2.2550623 53.4859925, -2.2545396 53.4863472)",0.0,0.0
0,4458.0,1442.0,1445.0,,77.0,2310_2325,2017-09-29,"LINESTRING (-2.2545396 53.4863472, -2.2543477 53.4864347, -2.2537993 53.4867429, -2.2536785 53.486818)",0.0,0.0
1,4458.0,1442.0,1445.0,,77.0,2325_2340,2017-09-29,"LINESTRING (-2.2545396 53.4863472, -2.2543477 53.4864347, -2.2537993 53.4867429, -2.2536785 53.486818)",0.0,0.0
