utd_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000012,Broughton Bridge,4,100000013,100000014,2355_0010,2017-09-29,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",0.0,,0,,,,
100000012,Broughton Bridge,4,100000013,100000014,0010_0025,2017-09-30,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",0.0,,0,,,,
100000012,Broughton Bridge,4,100000013,100000014,,,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",,,,,,,
100000013,Broughton Bridge,5,100000014,100000015,2310_2325,2017-09-29,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",0.0,,0,,,,
100000013,Broughton Bridge,5,100000014,100000015,2325_2340,2017-09-29,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",0.0,,0,,,,
100000013,Broughton Bridge,5,100000014,100000015,2340_2355,2017-09-29,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",0.0,,0,,,,
100000013,Broughton Bridge,5,100000014,100000015,2355_0010,2017-09-29,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",0.0,,0,,,,
100000013,Broughton Bridge,5,100000014,100000015,0010_0025,2017-09-30,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",0.0,,0,,,,
100000013,Broughton Bridge,5,100000014,100000015,,,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",,,,,,,
100000014,Broughton Bridge,6,100000015,100000016,2310_2325,2017-09-29,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",0.0,,0,,,,
100000014,Broughton Bridge,6,100000015,100000016,2325_2340,2017-09-29,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",0.0,,0,,,,
100000014,Broughton Bridge,6,100000015,100000016,2340_2355,2017-09-29,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",0.0,,0,,,,
100000014,Broughton Bridge,6,100000015,100000016,2355_0010,2017-09-29,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",0.0,,0,,,,
100000014,Broughton Bridge,6,100000015,100000016,0010_0025,2017-09-30,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",0.0,,0,,,,
100000014,Broughton Bridge,6,100000015,100000016,,,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",,,,,,,
100000015,St Simon Street,1,100000017,100000018,2310_2325,2017-09-29,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",66.0,,35,,,,
100000015,St Simon Street,1,100000017,100000018,2325_2340,2017-09-29,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",12.0,,53,,,,
100000015,St Simon Street,1,100000017,100000018,2340_2355,2017-09-29,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",24.0,,53,,,,
100000015,St Simon Street,1,100000017,100000018,2355_0010,2017-09-29,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",78.0,,67,,,,
100000015,St Simon Street,1,100000017,100000018,0010_0025,2017-09-30,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",42.0,,36,,,,
100000015,St Simon Street,1,100000017,100000018,,,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",,,,,,,
100000016,St Simon Street,2,100000018,100000019,2310_2325,2017-09-29,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",66.0,,35,,,,
100000016,St Simon Street,2,100000018,100000019,2325_2340,2017-09-29,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",12.0,,53,,,,
100000016,St Simon Street,2,100000018,100000019,2340_2355,2017-09-29,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",24.0,,53,,,,
100000016,St Simon Street,2,100000018,100000019,2355_0010,2017-09-29,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",78.0,,67,,,,
100000016,St Simon Street,2,100000018,100000019,0010_0025,2017-09-30,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",42.0,,36,,,,
100000016,St Simon Street,2,100000018,100000019,,,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",,,,,,,
100000017,St Simon Street,3,100000019,100000020,2310_2325,2017-09-29,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",66.0,,35,,,,
100000017,St Simon Street,3,100000019,100000020,2325_2340,2017-09-29,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",12.0,,53,,,,
100000017,St Simon Street,3,100000019,100000020,2340_2355,2017-09-29,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",24.0,,53,,,,
100000017,St Simon Street,3,100000019,100000020,2355_0010,2017-09-29,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",78.0,,67,,,,
100000017,St Simon Street,3,100000019,100000020,0010_0025,2017-09-30,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",42.0,,36,,,,
100000017,St Simon Street,3,100000019,100000020,,,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",,,,,,,
100000018,St Simon Street,4,100000020,100000021,2310_2325,2017-09-29,"LINESTRING (-2.256212 53.48931,-2.256164 53.489373)",66.0,,35,,,,
100000018,St Simon Street,4,100000020,100000021,2325_2340,2017-09-29,"LINESTRING (-2.256212 53.48931,-2.256164 53.489373)",12.0,,53,,,,
100000018,St Simon Street,4,100000020,100000021,2340_2355,2017-09-29,"LINESTRING (-2.256212 53.48931,-2.256164 53.489373)",24.0,,53,,,,
100000018,St Simon Street,4,100000020,100000021,2355_0010,2017-09-29,"LINESTRING (-2.256212 53.48931,-2.256164 53.489373)",78.0,,67,,,,
100000018,St Simon Street,4,100000020,100000021,0010_0025,2017-09-30,"LINESTRING (-2.256212 53.48931,-2.256164 53.489373)",42.0,,36,,,,
100000018,St Simon Street,4,100000020,100000021,,,"LINESTRING (-2.256212 53.48931,-2.256164 53.489373)",,,,,,,
100000019,St Simon Street,5,100000021,100000022,2310_2325,2017-09-29,"LINESTRING (-2.256164 53.489373,-2.256186 53.489707)",66.0,,35,,,,
100000019,St Simon Street,5,100000021,100000022,2325_2340,2017-09-29,"LINESTRING (-2.256164 53.489373,-2.256186 53.489707)",12.0,,53,,,,
100000019,St Simon Street,5,100000021,100000022,2340_2355,2017-09-29,"LINESTRING (-2.256164 53.489373,-2.256186 53.489707)",24.0,,53,,,,
100000019,St Simon Street,5,100000021,100000022,2355_0010,2017-09-29,"LINESTRING (-2.256164 53.489373,-2.256186 53.489707)",78.0,,67,,,,
100000019,St Simon Street,5,100000021,100000022,0010_0025,2017-09-30,"LINESTRING (-2.256164 53.489373,-2.256186 53.489707)",42.0,,36,,,,
100000019,St Simon Street,5,100000021,100000022,,,"LINESTRING (-2.256164 53.489373,-2.256186 53.489707)",,,,,,,
100000020,St Simon Street,6,100000022,100000023,2310_2325,2017-09-29,"LINESTRING (-2.256186 53.489707,-2.256333 53.489842)",66.0,,35,,,,
100000020,St Simon Street,6,100000022,100000023,2325_2340,2017-09-29,"LINESTRING (-2.256186 53.489707,-2.256333 53.489842)",12.0,,53,,,,
100000020,St Simon Street,6,100000022,100000023,2340_2355,2017-09-29,"LINESTRING (-2.256186 53.489707,-2.256333 53.489842)",24.0,,53,,,,
100000020,St Simon Street,6,100000022,100000023,2355_0010,2017-09-29,"LINESTRING (-2.256186 53.489707,-2.256333 53.489842)",78.0,,67,,,,
100000020,St Simon Street,6,100000022,100000023,0010_0025,2017-09-30,"LINESTRING (-2.256186 53.489707,-2.256333 53.489842)",42.0,,36,,,,
100000020,St Simon Street,6,100000022,100000023,,,"LINESTRING (-2.256186 53.489707,-2.256333 53.489842)",,,,,,,
100000021,St Simon Street,7,100000023,100000024,2310_2325,2017-09-29,"LINESTRING (-2.256333 53.489842,-2.256532 53.489897)",66.0,,35,,,,
100000021,St Simon Street,7,100000023,100000024,2325_2340,2017-09-29,"LINESTRING (-2.256333 53.489842,-2.256532 53.489897)",12.0,,53,,,,
100000021,St Simon Street,7,100000023,100000024,2340_2355,2017-09-29,"LINESTRING (-2.256333 53.489842,-2.256532 53.489897)",24.0,,53,,,,
100000021,St Simon Street,7,100000023,100000024,2355_0010,2017-09-29,"LINESTRING (-2.256333 53.489842,-2.256532 53.489897)",78.0,,67,,,,
100000021,St Simon Street,7,100000023,100000024,0010_0025,2017-09-30,"LINESTRING (-2.256333 53.489842,-2.256532 53.489897)",42.0,,36,,,,
100000021,St Simon Street,7,100000023,100000024,,,"LINESTRING (-2.256333 53.489842,-2.256532 53.489897)",,,,,,,
100000022,St Simon Street,8,100000024,100000025,2310_2325,2017-09-29,"LINESTRING (-2.256532 53.489897,-2.257865 53.48991899999999)",66.0,,35,,,,
100000022,St Simon Street,8,100000024,100000025,2325_2340,2017-09-29,"LINESTRING (-2.256532 53.489897,-2.257865 53.48991899999999)",12.0,,53,,,,
100000022,St Simon Street,8,100000024,100000025,2340_2355,2017-09-29,"LINESTRING (-2.256532 53.489897,-2.257865 53.48991899999999)",24.0,,53,,,,
100000022,St Simon Street,8,100000024,100000025,2355_0010,2017-09-29,"LINESTRING (-2.256532 53.489897,-2.257865 53.48991899999999)",78.0,,67,,,,
100000022,St Simon Street,8,100000024,100000025,0010_0025,2017-09-30,"LINESTRING (-2.256532 53.489897,-2.257865 53.48991899999999)",42.0,,36,,,,
100000022,St Simon Street,8,100000024,100000025,,,"LINESTRING (-2.256532 53.489897,-2.257865 53.48991899999999)",,,,,,,
100000023,St Simon Street,9,100000025,100000026,2310_2325,2017-09-29,"LINESTRING (-2.257865 53.48991899999999,-2.258251 53.489922)",66.0,,35,,,,
100000023,St Simon Street,9,100000025,100000026,2325_2340,2017-09-29,"LINESTRING (-2.257865 53.48991899999999,-2.258251 53.489922)",12.0,,53,,,,
100000023,St Simon Street,9,100000025,100000026,2340_2355,2017-09-29,"LINESTRING (-2.257865 53.48991899999999,-2.258251 53.489922)",24.0,,53,,,,
100000023,St Simon Street,9,100000025,100000026,2355_0010,2017-09-29,"LINESTRING (-2.257865 53.48991899999999,-2.258251 53.489922)",78.0,,67,,,,
100000023,St Simon Street,9,100000025,100000026,0010_0025,2017-09-30,"LINESTRING (-2.257865 53.48991899999999,-2.258251 53.489922)",42.0,,36,,,,
