,link_id,from_node_id,to_node_id,lanes,length,timestamp,geometry,volume,speed
43,28134,13716,10029,3,59.02745166402119,2015-04-01T00:00,"LINESTRING (-77.2774687 38.9599155, -77.27706209999999 38.9596186, -77.2769713 38.9595519)",,48.0
44,28133,10029,10004,2,67.290535516034,2015-04-01T00:00,"LINESTRING (-77.2769713 38.9595519, -77.276405 38.9591368)",,48.0
45,28132,10004,13715,3,43.64802089206874,2015-04-01T00:00,"LINESTRING (-77.276405 38.9591368, -77.276037 38.9588681)",,48.0
46,28205,13715,10005,2,39.70582763636305,2015-04-01T00:00,"LINESTRING (-77.276037 38.9588681, -77.2757022 38.9586237)",,47.0
47,28204,10005,10006,3,37.62333614587727,2015-04-01T00:00,"LINESTRING (-77.2757022 38.9586237, -77.27538389999999 38.958393)",,47.0
48,27654,10006,14781,4,69.16398846308113,2015-04-01T00:00,"LINESTRING (-77.27538389999999 38.958393, -77.2749323 38.9580687, -77.2747988 38.9579689)",,47.0
49,28202,14781,13736,2,246.90969244835517,2015-04-01T00:00,"LINESTRING (-77.2747988 38.9579689, -77.27442550000001 38.9576997, -77.27399320000001 38.9573901, -77.273554 38.957089, -77.27337470000001 38.9569759, -77.2731036 38.9567983, -77.2726493 38.9565082)",,47.0
50,28201,13736,10008,3,63.96039276699124,2015-04-01T00:00,"LINESTRING (-77.2726493 38.9565082, -77.2720776 38.9561432)",,47.0
51,28198,10008,10009,2,224.3311039170565,2015-04-01T00:00,"LINESTRING (-77.2720776 38.9561432, -77.271435 38.9557281, -77.2706999 38.9552511, -77.2700857 38.9548506)",,47.0
52,28197,10009,10010,4,72.94121424385618,2015-04-01T00:00,"LINESTRING (-77.2700857 38.9548506, -77.2694295 38.9544384)",,47.0
53,28194,10010,13735,2,38.37747443469248,2015-04-01T00:00,"LINESTRING (-77.2694295 38.9544384, -77.269087 38.9542189)",,47.0
54,28193,13735,10030,3,36.22650291796025,2015-04-01T00:00,"LINESTRING (-77.269087 38.9542189, -77.26882089999999 38.9540483, -77.26876369999999 38.9540117)",,47.0
55,28190,10030,10011,2,87.9939710738694,2015-04-01T00:00,"LINESTRING (-77.26876369999999 38.9540117, -77.2679761 38.9535106)",,47.0
56,28189,10011,10012,3,58.55517470919034,2015-04-01T00:00,"LINESTRING (-77.2679761 38.9535106, -77.2674548 38.9531745)",,47.0
57,28188,10012,10013,4,57.148850336444966,2015-04-01T00:00,"LINESTRING (-77.2674548 38.9531745, -77.2669444 38.952848)",,47.0
58,28185,10013,10014,2,95.95803892097064,2015-04-01T00:00,"LINESTRING (-77.2669444 38.952848, -77.26655340000001 38.9525938, -77.2660893 38.952298)",,47.0
59,28184,10014,10015,3,95.696036425088,2015-04-01T00:00,"LINESTRING (-77.2660893 38.952298, -77.2652343 38.9517516)",,47.0
60,24069,10015,14780,4,87.93064929323764,2015-04-01T00:00,"LINESTRING (-77.2652343 38.9517516, -77.2647353 38.9514378, -77.2644459 38.9512522)",,47.0
61,24130,14780,10017,2,167.3502066719102,2015-04-01T00:00,"LINESTRING (-77.2644459 38.9512522, -77.2641266 38.9510507, -77.26339729999999 38.9505906, -77.2629421 38.9503049)",,47.0
62,28181,10017,12431,3,31.04177702778585,2015-04-01T00:00,"LINESTRING (-77.2629421 38.9503049, -77.26267350000001 38.9501197)",,47.0
63,28182,12431,10018,4,45.49736807438952,2015-04-01T00:00,"LINESTRING (-77.26267350000001 38.9501197, -77.26248030000001 38.9499667, -77.26230390000001 38.9498285)",,47.0
64,24165,10018,13732,2,318.43803813770853,2015-04-01T00:00,"LINESTRING (-77.26230390000001 38.9498285, -77.2621575 38.9497129, -77.2619128 38.9495079, -77.2615239 38.949149, -77.26111330000001 38.948729, -77.2609179 38.9485408, -77.26067500000001 38.9482869, -77.25999299999999 38.9476017)",,40.0
