name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,29531,23807822,24400,17315,1,8.734130221673976,2,45,,motorway,1,"LINESTRING (-112.0309529 33.6723275, -112.0309021 33.6722613)",auto,0
,29532,23807822,17315,13297,1,87.6443621904317,2,45,,motorway,1,"LINESTRING (-112.0309021 33.6722613, -112.0307691 33.6721272, -112.0306855 33.6720776, -112.0305745 33.672036, -112.0303945 33.6720076, -112.0300674 33.6720473)",auto,0
,29537,23807857,19218,13425,1,65.52174329732988,2,45,,motorway,1,"LINESTRING (-112.0310971 33.6726609, -112.0312218 33.6726333, -112.0317842 33.6725187)",auto,0
,29581,23811063,13350,13355,1,197.8751539162448,2,45,,motorway,1,"LINESTRING (-112.1129771 33.6657089, -112.1129512 33.665962, -112.1128927 33.6663316, -112.112827 33.6666168, -112.1127883 33.666863, -112.1127493 33.6671745, -112.1127639 33.6674751)",auto,0
,29582,23811069,13348,13360,1,27.88103516457622,2,59,,motorway,1,"LINESTRING (-112.1269041 33.6686161, -112.1266292 33.6685135)",auto,0
,29583,23811073,13364,13288,1,969.5527888535504,1,45,,motorway,1,"LINESTRING (-112.118306 33.6683088, -112.1179949 33.6683236, -112.1170267 33.6683114, -112.1162941 33.668301, -112.1156617 33.6682846, -112.1153088 33.6682882, -112.1150076 33.6683074, -112.1147295 33.66836, -112.1144251 33.6684444, -112.1141345 33.668553, -112.113877 33.6686825, -112.1136749 33.6688061, -112.1134374 33.6689825, -112.1132469 33.6691623, -112.1130329 33.6694027, -112.1129329 33.6695352, -112.1128631 33.6696468, -112.1127612 33.6698968, -112.1126753 33.6701424, -112.1126056 33.6704727, -112.112611 33.6709549, -112.1126298 33.6732754)",auto,0
,29584,23811086,13066,13368,1,667.5572869868013,2,45,,motorway,1,"LINESTRING (-112.1082977 33.6692183, -112.1084212 33.6691875, -112.1090467 33.6692012, -112.1095784 33.6692119, -112.1100387 33.6692209, -112.110327 33.6692266, -112.1105132 33.6692304, -112.1106435 33.6692319, -112.1110803 33.6692365, -112.1114128 33.6692272, -112.1117329 33.6691951, -112.1121025 33.6691227, -112.1123937 33.6690317, -112.1126163 33.6689436, -112.1126848 33.6689125, -112.1128476 33.6688311, -112.1130644 33.668704, -112.1131675 33.6686305, -112.1133551 33.6684967, -112.113529 33.6683373, -112.1137741 33.6680644, -112.1139601 33.6677726, -112.1140427 33.6676196, -112.1141648 33.6673208, -112.1142147 33.6670993)",auto,0
,29585,23811094,13370,13488,1,148.42957818677755,1,59,,motorway,1,"LINESTRING (-112.1137443 33.6722848, -112.1138675 33.6719029, -112.1139699 33.6714909, -112.114005 33.671378, -112.1140415 33.6712674, -112.114094 33.6711296, -112.1141566 33.6709966)",auto,0
,29586,23811096,13064,13372,1,565.4881126046713,1,45,,motorway,1,"LINESTRING (-112.1073099 33.6688778, -112.1075553 33.6689325, -112.1076665 33.6689421, -112.1083364 33.6689759, -112.1090505 33.6690229, -112.1095754 33.669061, -112.1100491 33.6691443, -112.1103271 33.6691993, -112.1106441 33.66928, -112.1110832 33.6693761, -112.1114081 33.6694577, -112.1121443 33.6696156, -112.112892 33.6697418, -112.1132954 33.6698132)",auto,0
,29587,23811107,13339,13389,1,325.51269738472735,1,59,,motorway,1,"LINESTRING (-112.226401 33.6663387, -112.2254417 33.6666559, -112.2250194 33.6667892, -112.2245956 33.6668986, -112.2243981 33.6669474, -112.2241502 33.6670063, -112.2238493 33.6670671, -112.2235714 33.6671145, -112.2232822 33.6671597, -112.223046 33.6671863)",auto,0
