link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000116,115P04137,AZ-101-LOOP_COUNTERCLOCKWISE,77.0,100000065,100000011,1,,"LINESTRING (-112.16288 33.669509999999995,-112.1766 33.66845)",1,0.795986,,,,,
100000117,115-04380,AZ-101-LOOP_CLOCKWISE,57.0,100000043,100000008,1,,"LINESTRING (-111.95459 33.665209999999995,-111.93121000000001 33.65932)",1,1.408415,,,,,
100000118,115P04374,AZ-101-LOOP_COUNTERCLOCKWISE,69.0,100000046,100000002,1,,"LINESTRING (-112.09245 33.66966,-112.0943 33.66976)",1,0.106601,,,,,
100000119,115P04373,AZ-101-LOOP_COUNTERCLOCKWISE,51.0,100000050,100000070,1,,"LINESTRING (-111.89029 33.640609999999995,-111.89636000000002 33.65036)",1,0.774745,,,,,
100000120,115P04134,AZ-101-LOOP_COUNTERCLOCKWISE,83.0,100000071,100000072,1,,"LINESTRING (-112.21383999999999 33.667790000000004,-112.21455 33.6678)",1,0.040826,,,,,
100000121,115P04376,AZ-101-LOOP_COUNTERCLOCKWISE,65.0,100000073,100000047,1,,"LINESTRING (-112.05912 33.66917,-112.07266000000001 33.66897)",1,0.778597,,,,,
100000122,115P04375,AZ-101-LOOP_COUNTERCLOCKWISE,67.0,100000074,100000045,1,,"LINESTRING (-112.07623000000001 33.66892,-112.08968 33.66937)",1,0.77615,,,,,
100000123,115P04372,AZ-101-LOOP_COUNTERCLOCKWISE,49.0,100000075,100000049,1,,"LINESTRING (-111.89023999999999 33.6296,-111.8902 33.63686)",1,0.501552,,,,,
100000124,115-04140,AZ-101-LOOP_CLOCKWISE,41.0,100000040,100000001,1,,"LINESTRING (-112.11697 33.66865,-112.11639 33.66864)",1,0.033353,,,,,
100000125,115N05163,AZ-101-LOOP_CLOCKWISE,52.0,100000078,100000106,1,,"LINESTRING (-112.00683000000001 33.67265,-111.98856 33.6728)",1,1.0632629999999998,,,,,
100000126,115N05164,AZ-101-LOOP_CLOCKWISE,60.0,100000053,100000080,1,,"LINESTRING (-111.91423 33.6558,-111.90167 33.65295)",1,0.749265,,,,,
100000127,115+05163,AZ-101-LOOP_COUNTERCLOCKWISE,60.0,100000081,100000005,1,,"LINESTRING (-111.98378999999998 33.67306,-111.98857 33.67302)",1,0.274825,,,,,
