name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,name_base,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115-04138,AZ-101-LOOP_CLOCKWISE,8,100000009,100000010,9,"LINESTRING (-112.161 33.66935,-112.14013999999999 33.669540000000005)",Agua Fria Freeway,31534,14446,14442,9,"LINESTRING (-112.1521009 33.6693954, -112.1517081 33.6693983)","MULTILINESTRING ((-112.161 33.66935,-112.14013999999999 33.669540000000005), (-112.1521009 33.6693954, -112.1517081 33.6693983))",3.61369734081892e-05
115-04138,AZ-101-LOOP_CLOCKWISE,8,100000009,100000010,9,"LINESTRING (-112.161 33.66935,-112.14013999999999 33.669540000000005)",Agua Fria Freeway,31530,14442,13450,9,"LINESTRING (-112.1517081 33.6693983, -112.1494811 33.6694152, -112.1483194 33.669441, -112.147243 33.6694503, -112.1446116 33.669471, -112.1412199 33.6694975)","MULTILINESTRING ((-112.161 33.66935,-112.14013999999999 33.669540000000005), (-112.1517081 33.6693983, -112.1494811 33.6694152, -112.1483194 33.669441, -112.147243 33.6694503, -112.1446116 33.669471, -112.1412199 33.6694975))",3.679425712977206e-05
115-04138,AZ-101-LOOP_CLOCKWISE,8,100000009,100000010,9,"LINESTRING (-112.161 33.66935,-112.14013999999999 33.669540000000005)",Agua Fria Freeway,31547,14452,14453,9,"LINESTRING (-112.1410703 33.6695006, -112.1406647 33.6695045)","MULTILINESTRING ((-112.161 33.66935,-112.14013999999999 33.669540000000005), (-112.1410703 33.6695006, -112.1406647 33.6695045))",3.0876457298726414e-05
115-04138,AZ-101-LOOP_CLOCKWISE,8,100000009,100000010,9,"LINESTRING (-112.161 33.66935,-112.14013999999999 33.669540000000005)",Agua Fria Freeway,31557,14453,13836,9,"LINESTRING (-112.1406647 33.6695045, -112.1401647 33.6695085, -112.1396991 33.6695124, -112.1392389 33.6695161, -112.1388897 33.6695221, -112.1384835 33.6695221, -112.138136 33.6695205, -112.1377918 33.6695095, -112.1375215 33.6694995, -112.1372792 33.6694831, -112.1368289 33.6694434, -112.1363785 33.6693856, -112.1358662 33.6693059, -112.1353915 33.669215, -112.1349762 33.6691243)","MULTILINESTRING ((-112.161 33.66935,-112.14013999999999 33.669540000000005), (-112.1406647 33.6695045, -112.1401647 33.6695085, -112.1396991 33.6695124, -112.1392389 33.6695161, -112.1388897 33.6695221, -112.1384835 33.6695221, -112.138136 33.6695205, -112.1377918 33.6695095, -112.1375215 33.6694995, -112.1372792 33.6694831, -112.1368289 33.6694434, -112.1363785 33.6693856, -112.1358662 33.6693059, -112.1353915 33.669215, -112.1349762 33.6691243))",3.0839013168881507e-05
115N04138,AZ-101-LOOP_CLOCKWISE,9,100000010,100000011,10,"LINESTRING (-112.14013999999999 33.669540000000005,-112.13467 33.669090000000004)",Agua Fria Freeway,31557,14453,13836,10,"LINESTRING (-112.1406647 33.6695045, -112.1401647 33.6695085, -112.1396991 33.6695124, -112.1392389 33.6695161, -112.1388897 33.6695221, -112.1384835 33.6695221, -112.138136 33.6695205, -112.1377918 33.6695095, -112.1375215 33.6694995, -112.1372792 33.6694831, -112.1368289 33.6694434, -112.1363785 33.6693856, -112.1358662 33.6693059, -112.1353915 33.669215, -112.1349762 33.6691243)","MULTILINESTRING ((-112.14013999999999 33.669540000000005,-112.13467 33.669090000000004), (-112.1406647 33.6695045, -112.1401647 33.6695085, -112.1396991 33.6695124, -112.1392389 33.6695161, -112.1388897 33.6695221, -112.1384835 33.6695221, -112.138136 33.6695205, -112.1377918 33.6695095, -112.1375215 33.6694995, -112.1372792 33.6694831, -112.1368289 33.6694434, -112.1363785 33.6693856, -112.1358662 33.6693059, -112.1353915 33.669215, -112.1349762 33.6691243))",3.129200793659492e-05
115N04138,AZ-101-LOOP_CLOCKWISE,9,100000010,100000011,10,"LINESTRING (-112.14013999999999 33.669540000000005,-112.13467 33.669090000000004)",Agua Fria Freeway,30204,13836,13346,10,"LINESTRING (-112.1349762 33.6691243, -112.1342842 33.6689778)","MULTILINESTRING ((-112.14013999999999 33.669540000000005,-112.13467 33.669090000000004), (-112.1349762 33.6691243, -112.1342842 33.6689778))",2.155265536009686e-06
115-04139,AZ-101-LOOP_CLOCKWISE,10,100000011,100000012,11,"LINESTRING (-112.13467 33.669090000000004,-112.12732 33.66864)",Agua Fria Freeway,30204,13836,13346,11,"LINESTRING (-112.1349762 33.6691243, -112.1342842 33.6689778)","MULTILINESTRING ((-112.13467 33.669090000000004,-112.12732 33.66864), (-112.1349762 33.6691243, -112.1342842 33.6689778))",2.9862267841049073e-05
115-04139,AZ-101-LOOP_CLOCKWISE,10,100000011,100000012,11,"LINESTRING (-112.13467 33.669090000000004,-112.12732 33.66864)",Agua Fria Freeway,47366,13346,13347,11,"LINESTRING (-112.1342842 33.6689778, -112.1335617 33.6688421, -112.133069 33.6687646)","MULTILINESTRING ((-112.13467 33.669090000000004,-112.12732 33.66864), (-112.1342842 33.6689778, -112.1335617 33.6688421, -112.133069 33.6687646))",9.392535287689332e-05
115-04139,AZ-101-LOOP_CLOCKWISE,10,100000011,100000012,11,"LINESTRING (-112.13467 33.669090000000004,-112.12732 33.66864)",Agua Fria Freeway,47365,13347,22023,11,"LINESTRING (-112.133069 33.6687646, -112.132648 33.6687164, -112.1323751 33.6686934)","MULTILINESTRING ((-112.13467 33.669090000000004,-112.12732 33.66864), (-112.133069 33.6687646, -112.132648 33.6687164, -112.1323751 33.6686934))",0.00023452967759793488
115-04139,AZ-101-LOOP_CLOCKWISE,10,100000011,100000012,11,"LINESTRING (-112.13467 33.669090000000004,-112.12732 33.66864)",Agua Fria Freeway,30205,22023,13348,11,"LINESTRING (-112.1323751 33.6686934, -112.1319555 33.6686591, -112.1311561 33.6686326, -112.1269041 33.6686161)","MULTILINESTRING ((-112.13467 33.669090000000004,-112.12732 33.66864), (-112.1323751 33.6686934, -112.1319555 33.6686591, -112.1311561 33.6686326, -112.1269041 33.6686161))",0.00025641234343564366
