,_vatmc_code,measurement_tstamp,speed,reference_speed
232,110P05698,2015-04-01 00:15:00,35.0,35.0
233,110+05699,2015-04-01 00:15:00,35.0,35.0
234,110N05697,2015-04-01 00:15:00,32.0,32.0
235,110N05711,2015-04-01 00:15:00,44.0,44.0
236,110N05696,2015-04-01 00:20:00,28.96,25.0
237,110N05694,2015-04-01 00:20:00,33.61,30.0
238,110-05698,2015-04-01 00:20:00,38.0,30.0
239,110+05710,2015-04-01 00:20:00,48.0,48.0
240,110N05698,2015-04-01 00:20:00,39.0,30.0
241,110N05697,2015-04-01 00:20:00,40.59,32.0
242,110-05697,2015-04-01 00:20:00,40.0,30.0
243,110-05707,2015-04-01 00:20:00,50.0,50.0
244,110+05699,2015-04-01 00:20:00,35.0,35.0
245,110+05695,2015-04-01 00:20:00,31.0,31.0
246,110+05703,2015-04-01 00:20:00,48.0,48.0
247,110+05711,2015-04-01 00:20:00,56.0,41.0
248,110P05698,2015-04-01 00:20:00,35.0,35.0
249,110+05707,2015-04-01 00:20:00,48.0,48.0
250,110P05706,2015-04-01 00:20:00,48.0,48.0
251,110+05696,2015-04-01 00:20:00,32.0,32.0
252,110-05702,2015-04-01 00:20:00,48.0,48.0
253,110+05706,2015-04-01 00:20:00,48.0,48.0
254,110-05703,2015-04-01 00:20:00,50.0,50.0
255,110-05696,2015-04-01 00:20:00,41.18,29.0
256,110-05699,2015-04-01 00:20:00,40.0,40.0
257,110-05705,2015-04-01 00:20:00,50.0,50.0
258,110-05694,2015-04-01 00:20:00,34.35,31.0
259,110P05707,2015-04-01 00:20:00,45.0,45.0
260,110-05695,2015-04-01 00:20:00,33.47,31.0
261,110P05695,2015-04-01 00:20:00,35.0,35.0
262,110+05697,2015-04-01 00:20:00,36.0,36.0
263,110N05695,2015-04-01 00:20:00,35.79,33.0
264,110+05693,2015-04-01 00:20:00,31.0,31.0
265,110+05694,2015-04-01 00:20:00,31.0,31.0
266,110-05700,2015-04-01 00:20:00,43.0,43.0
267,110P05694,2015-04-01 00:20:00,31.0,31.0
268,110+05700,2015-04-01 00:20:00,40.0,40.0
